city,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Chicago,351.0,8.643191332184191,670.0,11.098227596488321,566.0,12.078531796841656,174.0,9.688195991091316,357.0,10.090446579988694,311.0,9.308590242442381,412.0,12.075029308323565,271,10.644147682639431,218.0,11.111111111111109,258.0,10.023310023310023,483.0,10.766830138207759,62.0,9.051094890510948,414.0,11.80496150556031,263.0,11.224925309432352,194.0,10.125260960334028,352.0,11.47701336811216,287.0,16.178128523111617,222.0,10.787172011661808,501.0,11.959894962998328,192.0,9.026798307475316,11.089483739275817,Music,Rapper,Person
New York City,382.0,9.406550110810146,665.0,11.015405002484679,347.0,7.405036278275714,255.0,14.198218262806236,199.0,5.624646693046918,392.0,11.733014067644417,258.0,7.561547479484175,200,7.855459544383342,128.0,6.523955147808358,170.0,6.604506604506604,478.0,10.65537226928221,69.0,10.072992700729928,374.0,10.664385514684916,186.0,7.93854033290653,233.0,12.160751565762002,255.0,8.314313661558526,137.0,7.722660653889517,139.0,6.754130223517977,331.0,7.901647171162569,240.0,11.283497884344145,9.531879551638553,Music,Rapper,Person
Florida,264.0,6.500861856685545,415.0,6.874275302302468,382.0,8.151941954758858,94.0,5.233853006681515,551.0,15.573770491803277,203.0,6.076025142173001,243.0,7.121922626025793,247,9.701492537313428,191.0,9.734964322120286,270.0,10.489510489510488,321.0,7.155595185020062,73.0,10.656934306569344,269.0,7.670373538637011,136.0,5.80452411438327,127.0,6.628392484342379,203.0,6.618845777632866,130.0,7.328072153325818,163.0,7.92031098153547,346.0,8.259727858677488,157.0,7.381288199341794,8.606387883439462,Music,Rapper,Person
New York,287.0,7.067224821472544,627.0,10.385953288056983,359.0,7.661118224498506,154.0,8.574610244988865,246.0,6.953080836630863,303.0,9.069140975755762,259.0,7.5908558030480675,209,8.208955223880594,150.0,7.645259938837919,204.0,7.925407925407925,416.0,9.273294694605438,58.0,8.467153284671532,331.0,9.43826632449387,208.0,8.877507469056765,168.0,8.768267223382045,283.0,9.227257906749266,139.0,7.8354002254791455,182.0,8.843537414965986,316.0,7.543566483647648,188.0,8.838740009402915,8.58318289809206,Music,Rapper,Person
Miami,216.0,5.318886973651811,447.0,7.404339903925791,285.0,6.081946222791294,116.0,6.458797327394208,336.0,9.496890898812888,207.0,6.195749775516311,238.0,6.975381008206331,173,6.794972505891591,125.0,6.3710499490316,286.0,11.111111111111109,327.0,7.289344627730716,45.0,6.569343065693431,270.0,7.698887938408898,155.0,6.615450277422109,130.0,6.784968684759916,217.0,7.075317900228235,135.0,7.609921082299888,153.0,7.434402332361516,270.0,6.445452375268561,144.0,6.770098730606487,7.3228514665974,Music,Rapper,Person
Atlanta,304.0,7.485840925880326,382.0,6.327646181878417,415.0,8.856167306871532,98.0,5.456570155902005,223.0,6.302996042962125,163.0,4.878778808739898,341.0,9.994138335287223,143,5.616653574234091,99.0,5.045871559633026,125.0,4.856254856254856,230.0,5.127061970575123,42.0,6.131386861313868,133.0,3.792415169660679,135.0,5.761843790012804,114.0,5.949895615866388,155.0,5.053798500163025,141.0,7.948139797068772,200.0,9.718172983479107,410.0,9.78753879207448,130.0,6.11189468735308,7.14884349721602,Music,Rapper,Person
Houston,377.0,9.283427727160799,348.0,5.764452542653636,327.0,6.978233034571063,90.0,5.011135857461025,230.0,6.500847936687393,305.0,9.129003292427415,235.0,6.887456037514656,164,6.441476826394342,131.0,6.676860346585116,145.0,5.633255633255632,290.0,6.464556397681677,45.0,6.569343065693431,194.0,5.531793555745652,148.0,6.316688006828854,91.0,4.749478079331941,207.0,6.749266384088686,107.0,6.031567080045097,156.0,7.580174927113703,264.0,6.302220100262593,139.0,6.535025858015985,6.835079443881794,Music,Rapper,Person
Georgia,276.0,6.796355577443978,364.0,6.029484843465298,303.0,6.46606914212548,96.0,5.34521158129176,241.0,6.8117580553985295,188.0,5.627057767135588,236.0,6.916764361078546,173,6.794972505891591,148.0,7.543323139653414,174.0,6.759906759906759,255.0,5.684351315202853,48.0,7.007299270072993,194.0,5.531793555745652,129.0,5.5057618437900135,98.0,5.11482254697286,179.0,5.836322138897946,113.0,6.369785794813981,159.0,7.725947521865889,345.0,8.23585581284316,139.0,6.535025858015985,6.520503996998024,Music,Rapper,Person
Texas,283.0,6.968726914553066,359.0,5.946662249461654,221.0,4.716175842936407,128.0,7.126948775055679,133.0,3.759185980780101,234.0,7.003891050583657,149.0,4.36694021101993,132,5.1846032992930065,117.0,5.963302752293577,109.0,4.234654234654234,256.0,5.706642888987962,36.0,5.255474452554744,220.0,6.273167949814658,127.0,5.420401195049083,108.0,5.6367432150313155,193.0,6.292794261493315,65.0,3.664036076662909,88.0,4.275996112730806,176.0,4.20148006684173,88.0,4.137282557592853,5.572497812143579,Music,Rapper,Person
Washington DC,218.0,5.368135927111549,305.0,5.052178234222296,210.0,4.481434058898849,129.0,7.182628062360802,141.0,3.9853024307518368,208.0,6.225680933852138,165.0,4.835873388042205,136,5.341712490180673,104.0,5.300713557594291,129.0,5.011655011655011,224.0,4.993312527864466,20.0,2.9197080291970803,219.0,6.244653550042772,181.0,7.725138711054205,128.0,6.680584551148226,160.0,5.2168242582328,59.0,3.3258173618940257,66.0,3.206997084548105,138.0,3.2943423251372645,105.0,4.936530324400564,5.310751796005391,Music,Rapper,Person
