interests,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
NFT Enthusiast,483.0,2.341250605913718,665,3.335005015045136,699.0,4.910087103118855,195.0,1.733179272953516,1144.0,12.241840556447295,522.0,3.1557946919775106,1215.0,11.907095256762053,2230.0,15.574800949853332,1016.0,12.202738409800626,554.0,5.611263040615819,2352,11.161731207289293,226.0,5.249709639953541,2623.0,12.828915191235449,913.0,7.541091930288261,484.0,5.026482500778898,1052.0,7.88133053640995,372.0,7.769423558897246,1288.0,18.318873559948802,3298.0,22.475126073326972,477.0,4.151797371398729,12.32403866506255,Music,Rapper,Person
BTS Enthusiast,4098.0,19.864275327193408,313,1.5697091273821466,132.0,0.9272267490868223,566.0,5.030663940983025,42.0,0.4494382022471909,719.0,4.346774681095461,56.0,0.5488043904351235,152.0,1.0616007822321554,61.0,0.7326447273600769,24.0,0.24308720753570337,384,1.822323462414578,233.0,5.412311265969802,158.0,0.7727672894453682,135.0,1.1150574048071362,135.0,1.402014747118081,116.0,0.8690440515433023,48.0,1.0025062656641608,40.0,0.5689091167685962,85.0,0.5792558266321384,566.0,4.926451388284446,11.618967489608753,Music,Rapper,Person
Video Games,853.0,4.134755210857973,2907,14.578736208625878,2024.0,14.217476819331273,1669.0,14.834236956714964,994.0,10.636704119850183,2482.0,15.00513874614594,1166.0,11.426891415131323,1004.0,7.01215253527029,609.0,7.314436704299784,420.0,4.2540261318748085,1903,9.030941533788914,178.0,4.134727061556329,1804.0,8.823241709869901,1386.0,11.447922689353266,1722.0,17.883476996572856,1484.0,11.11777045250225,589.0,12.301587301587306,566.0,8.050064002275638,1229.0,8.375357775657626,567.0,4.935155366002262,11.572862512732602,Music,Rapper,Person
Black Lives Matter,1357.0,6.577799321376634,3321,16.654964894684056,1187.0,8.338016296712562,1697.0,15.083103724113418,408.0,4.36597110754414,1940.0,11.728432380146305,473.0,4.635437083496669,350.0,2.444475485402989,193.0,2.3180398750900792,395.0,4.000810290691785,757,3.5924449506454064,92.0,2.1370499419279905,792.0,3.8736183116502003,1012.0,8.358800693813496,1080.0,11.216117976944648,639.0,4.787234042553192,157.0,3.2790309106098583,266.0,3.7832456265111656,326.0,2.221616464495025,366.0,3.1856558447210372,9.660142134733427,Music,Rapper,Person
Adult Content,1887.0,9.146873485215703,1211,6.073219658976932,472.0,3.3155380724922736,1790.0,15.909696915829711,331.0,3.542001070090957,1963.0,11.86748080527175,260.0,2.5480203841630735,518.0,3.617823718396424,234.0,2.810473216430459,148.0,1.4990377798035042,592,2.809415337889142,388.0,9.012775842044134,580.0,2.8367406827741366,342.0,2.824812092178079,957.0,9.938726762903729,379.0,2.83937668564579,204.0,4.260651629072683,179.0,2.5458682975394686,450.0,3.0666484939348506,873.0,7.5985725476542765,8.012781271724805,Music,Rapper,Person
Fashion,1393.0,6.752302472127967,1066,5.34603811434303,1304.0,9.15987636976679,499.0,4.435161318993869,776.0,8.303905831995719,963.0,5.821897104165409,946.0,9.270874166993337,1139.0,7.955021651068585,717.0,8.611578188806151,1035.0,10.483135824977207,1731,8.214692482915718,501.0,11.637630662020904,1276.0,6.2408295021031,769.0,6.351697365160651,622.0,6.459653131166268,1032.0,7.73149535510938,474.0,9.899749373433584,492.0,6.997582136253734,1083.0,7.3804007087365395,1381.0,12.020193228305333,8.010372368856274,Music,Rapper,Person
Cryptocurrency,365.0,1.7692680562287926,536,2.688064192577734,577.0,4.0531048047204274,156.0,1.3865434183628127,653.0,6.987693953986088,408.0,2.466598150051388,738.0,7.232457859662878,1241.0,8.667411649671743,569.0,6.8340139322603894,612.0,6.198723792160436,1531,7.265565679574791,199.0,4.6225319396051106,2106.0,10.300303237797126,628.0,5.187081853473197,266.0,2.762488316543774,819.0,6.135750674258316,292.0,6.098579782790312,702.0,9.984354999288865,1608.0,10.958157284993868,379.0,3.298807555052659,7.257630062479022,Music,Rapper,Person
Entertainment,822.0,3.984488608822103,881,4.41825476429288,1072.0,7.530205113796012,264.0,2.346458092613991,741.0,7.929373996789725,608.0,3.675714890272656,807.0,7.908663269306154,949.0,6.6280206732783915,639.0,7.67475378332933,1074.0,10.878152537222727,1251,5.936788154897494,270.0,6.271777003484319,743.0,3.6339626332779025,584.0,4.823655736350871,342.0,3.5517706926991384,880.0,6.592747977225052,374.0,7.811194653299919,494.0,7.0260275920921655,901.0,6.140111762300668,790.0,6.876142397075462,6.36752564099264,Music,Rapper,Person
Beauty,1111.0,5.385361124575859,629,3.1544633901705117,662.0,4.65018263557179,338.0,3.0041774064527607,437.0,4.6762974852862484,619.0,3.7422163109848263,411.0,4.027832222657781,600.0,4.190529403547981,401.0,4.816238289694931,485.0,4.912387318950673,906,4.2995444191343966,342.0,7.944250871080138,520.0,2.543284750073364,361.0,2.9817460972990824,252.0,2.617094194620418,555.0,4.1579262810908,248.0,5.1796157059314964,253.0,3.5983501635613715,646.0,4.402344282404252,934.0,8.129515188441117,4.623238253199569,Music,Rapper,Person
Fan Account,1058.0,5.1284537081919535,1039,5.210631895687062,224.0,1.573475695420062,880.0,7.821526975379968,63.0,0.6741573033707864,1009.0,6.099993954416299,112.0,1.097608780870247,73.0,0.5098477440983377,70.0,0.8407398510689408,41.0,0.41527397954015993,380,1.8033409263477598,60.0,1.3937282229965153,422.0,2.0639733933287685,372.0,3.072602626579664,427.0,4.434520718662374,156.0,1.168714414144441,47.0,0.9816207184628238,75.0,1.0667045939411182,124.0,0.8450320294398257,283.0,2.463225694142223,4.381102185100685,Music,Rapper,Person
United States Army,1673.0,8.109549200193891,353,1.7703109327983955,219.0,1.5383534700758643,273.0,2.4264509821349223,159.0,1.701444622792937,412.0,2.490780484855813,132.0,1.293610348882791,252.0,1.7600223494901521,194.0,2.3300504443910643,177.0,1.7927681555758122,434,2.05960516324981,157.0,3.646922183507549,330.0,1.6140076298542503,185.0,1.5280416288097791,119.0,1.2358500363485305,264.0,1.9778243931675161,75.0,1.566416040100251,102.0,1.4507182477599205,181.0,1.2334741720049065,369.0,3.2117677778744884,3.71232546837315,Music,Rapper,Person
Photographer,358.0,1.7353368880271443,709,3.5556670010030094,463.0,3.252318066872718,281.0,2.4975557728201947,281.0,3.0069555912252532,478.0,2.8897890091288314,405.0,3.969031752254018,484.0,3.380360385528705,225.0,2.7023780927215952,363.0,3.676694013977514,717,3.402619589977221,102.0,2.3693379790940763,739.0,3.614398904431184,572.0,4.724539522590236,420.0,4.361823657700696,555.0,4.1579262810908,163.0,3.4043441938178787,214.0,3.04366377471199,408.0,2.7804279678342647,272.0,2.367481939246235,3.403754524009195,Music,Rapper,Person
Podcast,450.0,2.181289384391662,714,3.580742226680041,513.0,3.603540320314696,242.0,2.1509199182294916,285.0,3.0497592295345095,400.0,2.418233480442537,253.0,2.479419835358683,357.0,2.4933649951110493,242.0,2.906557770838338,410.0,4.152739795401599,607,2.8805998481397115,74.0,1.7189314750290354,626.0,3.061723564511396,514.0,4.245477822747171,332.0,3.4479177484681696,488.0,3.6559784237338926,134.0,2.798663324979115,202.0,2.8729910396814113,283.0,1.9285811639634727,228.0,1.9845069196622853,3.062859048596854,Music,Rapper,Person
Singer,494.0,2.394571013087736,502,2.517552657973922,487.0,3.4209047485248667,191.0,1.6976268776108798,298.0,3.188871054039592,356.0,2.1522277975938584,354.0,3.469227753822031,454.0,3.170833915351306,331.0,3.9754984386259915,391.0,3.9602957561025014,651,3.089407744874715,140.0,3.2520325203252027,371.0,1.8145358505331117,290.0,2.3953084992153295,206.0,2.139370651157961,457.0,3.42373389271801,190.0,3.9682539682539693,174.0,2.474754657943394,408.0,2.7804279678342647,432.0,3.760118374096962,2.9912921406355113,Music,Rapper,Person
Investor,134.0,0.6495395055744061,242,1.213640922768305,293.0,2.058162405169992,52.0,0.4621811394542709,250.0,2.6752273943285174,135.0,0.8161537996493561,302.0,2.959623676989416,417.0,2.912417935465847,206.0,2.474177276002883,355.0,3.595664944798945,597,2.8331435079726646,52.0,1.207897793263647,766.0,3.7464540741465324,278.0,2.2961922854546954,90.0,0.9346764980787206,351.0,2.6296074318249927,118.0,2.4644945697577283,257.0,3.655241075238232,465.0,3.1688701103993457,124.0,1.0792932370093131,2.6966134616540094,Music,Rapper,Person
Nature Lover,368.0,1.78380998545807,284,1.4242728184553664,319.0,2.2407979769598207,173.0,1.5376410985690168,196.0,2.0973782771535574,294.0,1.7774016081252646,211.0,2.0678165425323405,459.0,3.2057549937142062,278.0,3.338938265673794,250.0,2.5321584118302436,497,2.3585801063022016,215.0,4.994192799070847,408.0,1.9955003423652549,265.0,2.188816387214008,159.0,1.6512618132724064,316.0,2.367395864548996,126.0,2.6315789473684217,121.0,1.7209500782250038,274.0,1.8672481940847758,490.0,4.26494908173035,2.4963174537620842,Music,Rapper,Person
Analyst,245.0,1.1875908870576828,358,1.7953861584754267,293.0,2.058162405169992,109.0,0.9688027730868369,176.0,1.883360085607276,193.0,1.166797654313524,219.0,2.146217169737358,320.0,2.23494901522559,206.0,2.474177276002883,336.0,3.4032209054998472,549,2.6053530751708425,126.0,2.926829268292682,554.0,2.7095764452704687,366.0,3.023044519699347,157.0,1.6304912244262126,364.0,2.7270002996703626,95.0,1.9841269841269846,146.0,2.0765182762053764,255.0,1.7377674798964153,250.0,2.1759944294542604,2.2891569791944346,Music,Rapper,Person
Health,379.0,1.837130392632089,418,2.0962888665998,281.0,1.973869064343917,132.0,1.1732290463069954,185.0,1.9796682718031027,227.0,1.3723475001511396,171.0,1.675813406507252,324.0,2.2628858779159104,227.0,2.726399231323565,302.0,3.0588473614909337,591,2.804669703872437,91.0,2.1138211382113816,582.0,2.8465225471974955,313.0,2.585281242256545,134.0,1.391629452694984,343.0,2.569673359304765,101.0,2.1094402673350046,100.0,1.4222727919214908,212.0,1.444732179364863,260.0,2.263034206632431,2.262390769663512,Music,Rapper,Person
