jobs,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Artist,4807,17.977486069037738,6242,16.980875431867027,7479,20.921450151057407,3255.0,20.662730908398398,4900.0,22.33261929720614,5460.0,19.692707206232416,5816.0,22.04867692774282,5796.0,20.23248507697141,3822,20.293086970372727,4661.0,18.524700926036335,7421,17.85482279912422,1240.0,15.363647627307644,5968,15.992282544616538,4614,17.60732684602175,4359.0,21.459164082114903,6148.0,19.91190568726519,2576.0,21.185952792170408,3263.0,21.589254995368538,6599,22.28413196906764,3929.0,18.36238725054914,19.63206438066634,Music,Rapper,Person
Entrepreneur,1961,7.333856913123155,2373,6.455561903207379,2639,7.382231173771961,560.0,3.5548784358534884,1814.0,8.267626817373868,1356.0,4.890716295174205,2012.0,7.627568428235653,2561.0,8.93985408594268,1607,8.532441329510458,2769.0,11.005126982234415,3753,9.029665808531627,644.0,7.97918473547268,4137,11.08580309770084,2091,7.979393245563822,1041.0,5.124796928075617,2597.0,8.411063609275814,951.0,7.821366888724402,1472.0,9.739314542807994,2625,8.864350116502889,1634.0,7.636584567930083,8.412017546955932,Music,Rapper,Person
Producer,1077,4.0278245259732985,3227,8.778802470143368,3884,10.864943493342286,637.0,4.043674220783343,1806.0,8.23116539811312,1725.0,6.221597056914088,2836.0,10.751383728864965,1858.0,6.4858449401333464,1223,6.493575448656682,2071.0,8.230992408886772,3093,7.4417149868873755,278.0,3.444430677735102,2609,6.991264269253443,2091,7.979393245563822,1632.0,8.034263771968691,2526.0,8.181111542945978,804.0,6.612385886997287,1534.0,10.149530236866482,2098,7.084726302637357,857.0,4.005234378651213,7.986824509691959,Music,Rapper,Person
Content Creator,2527,9.45061520625304,2721,7.402268832122746,2117,5.922009622915969,1517.0,9.629911762838823,1446.0,6.590401531379609,2247.0,8.104306427180264,1552.0,5.883690954583367,1878.0,6.5556602785632,1078,5.723691196771794,917.0,3.644529231747547,2600,6.2555638428409885,883.0,10.940403915252137,2130,5.707701377351411,1396,5.327227628315206,1501.0,7.3893565696844385,1789.0,5.794144319212334,1024.0,8.421745209309975,823.0,5.4452825195183285,2126,7.179279370546719,1898.0,8.870402392858812,7.083545437864115,Music,Rapper,Person
Writer,1717,6.42133213657953,1995,5.427242308006204,1542,4.313528029540115,1029.0,6.532089125880784,900.0,4.101909666833781,1534.0,5.5327129769891075,1026.0,3.8896049738418386,1459.0,5.0930289384577785,1049,5.569714346394817,1444.0,5.739040578673345,2048,4.927459519283977,491.0,6.083508858877463,1830,4.903799774907551,1628,6.212554855943521,1037.0,5.105105105105105,1776.0,5.752040419743491,560.0,4.605641911341393,589.0,3.897049093555645,1184,3.9982440144531126,1221.0,5.706407440295369,5.265280375058279,Music,Rapper,Person
Designer,1190,4.450428213470961,1531,4.164966402785713,1486,4.156875909141771,899.0,5.706849488986225,903.0,4.11558269905656,1482.0,5.345163384548799,1130.0,4.283872924406704,1399.0,4.88358292316822,929,4.932568758628012,1171.0,4.654028059298121,2216,5.331665182975242,481.0,5.959608474786272,2278,6.10429283455705,1602,6.113337149398969,1102.0,5.425097228375917,1518.0,4.916439953361835,514.0,4.227321325766921,682.0,4.512372634643378,1340,4.52503967851957,1169.0,5.463382717203346,5.029414621564959,Music,Rapper,Person
Onlyfans,1630,6.095964695762744,1408,3.830354471013902,1715,4.797471187199285,739.0,4.6911699358852275,1212.0,5.523905018002826,1181.0,4.259539782153935,1278.0,4.844946546364396,1355.0,4.729989178622543,864,4.587448231920992,1071.0,4.256587576010494,1635,3.9337872627096218,593.0,7.347292776607607,1088,2.9154831448630687,760,2.900209883609998,702.0,3.4559149313247675,1135.0,3.6759942997797648,677.0,5.567892096389506,688.0,4.55207092761678,1585,5.352379022726505,1357.0,6.342010562228349,4.702815718243675,Music,Rapper,Person
CEO,1059,3.9605071244249985,1247,3.3923664952800676,1810,5.063220320017904,371.0,2.355106963752936,1230.0,5.605943211339501,811.0,2.9250522974825075,1431.0,5.424975358253091,1147.0,4.003909658952071,794,4.215779972390357,1595.0,6.339175708437664,1691,4.0685224839400425,281.0,3.481600792962458,1570,4.207085052789538,863,3.293264644151879,539.0,2.6534731452764238,1218.0,3.9448115040808402,566.0,4.654988074677194,822.0,5.438666137356095,1471,4.967412960524094,877.0,4.098705425994298,4.444979591446233,Music,Rapper,Person
Creator,823,3.0779011930139504,1263,3.4358932506324984,951,2.6602886874790204,500.0,3.173998603440614,622.0,2.8348753475229023,856.0,3.0873548294020057,778.0,2.9494275532640843,889.0,3.1032917932069672,535,2.840607412127004,596.0,2.3687452803942617,1411,3.3948463777879363,223.0,2.762978565233552,1308,3.5050109866552326,872,3.3276092348788393,754.0,3.711908629941417,959.0,3.105972276201581,393.0,3.232173698494942,518.0,3.427285960037052,1072,3.6200317428156557,551.0,2.575127354302005,3.1747311508055827,Music,Rapper,Person
Musician,648,2.4234264557388094,1037,2.821077831279415,1049,2.9344298981761217,392.0,2.4884149050974416,608.0,2.7710678638165995,770.0,2.777176657289187,782.0,2.964591705208887,1058.0,3.6932314029392255,724,3.8441117128597213,800.0,3.179523866301022,1324,3.185525587662103,255.0,3.1594597943253624,1061,2.843132000643121,947,3.61381415760351,771.0,3.7955988775660905,1110.0,3.5950252623396817,367.0,3.0183403240398055,445.0,2.9442900621939927,845,2.8534765136933107,728.0,3.402346123288312,3.1556719056270324,Music,Rapper,Person
Gamer,654,2.445865589588242,1313,3.5719143611088446,1000,2.7973592928275712,728.0,4.621341966609535,497.0,2.265165671573766,1210.0,4.364134747168722,574.0,2.1760558040791573,828.0,2.8903550109959157,464,2.4636296060316436,327.0,1.2996303803505427,1223,2.9425209922286646,194.0,2.403667451369099,942,2.524251031673723,779,2.972715130700248,705.0,3.4706837985526513,859.0,2.782096126441249,317.0,2.607122296241467,338.0,2.2363371708349877,680,2.296288792084558,489.0,2.28536710753844,2.9689538294364595,Music,Rapper,Person
Model,1137,4.252215864467632,789,2.146413123316739,863,2.4141210697101942,428.0,2.716942804545166,570.0,2.5978761223280618,729.0,2.629301017095867,633.0,2.399727045264994,750.0,2.618075191119489,485,2.575130083890835,567.0,2.2534875402408496,1027,2.4709477179221904,348.0,4.311733366373436,635,1.7015917251728387,415,1.5836672390765119,389.0,1.9150297838822428,648.0,2.0987174504469497,305.0,2.5084299695698657,315.0,2.084160381103613,726,2.451625975078513,907.0,4.238911997008927,2.692900389007864,Music,Rapper,Person
Songwriter,534,1.9970829125995742,753,2.0484779237737705,878,2.456081459102608,195.0,1.2378594553418396,525.0,2.392780638986372,426.0,1.536463968837914,685.0,2.596861020547427,681.0,2.377212273536496,536,2.8459169586917272,745.0,2.9609316004928274,992,2.3867382046531773,153.0,1.8956758765952173,588,1.575647140789967,541,2.064491509253959,363.0,1.7870329345739182,807.0,2.613680528565877,304.0,2.500205609013899,335.0,2.2164880243482865,686,2.316550163779421,474.0,2.2152638220311256,2.2897338965366374,Music,Rapper,Person
Streamer,243,0.9087849209020534,798,2.1708969232024815,528,1.4770057066129576,617.0,3.9167142766457177,228.0,1.0391504489312247,853.0,3.076534660607372,297.0,1.125938281901585,316.0,1.1030823471916777,155,0.8229797175321225,80.0,0.3179523866301023,521,1.253518754661598,55.0,0.6814521125015488,530,1.4202261643174876,356,1.3585193665331041,643.0,3.1654605425097238,393.0,1.2728332685581034,155.0,1.27477588617485,142.0,0.9395262670371842,364,1.2291898828217338,125.0,0.5841940458942843,1.9138871707520153,Music,Rapper,Person
DJ,460,1.7203335951232284,654,1.7791561250306052,656,1.8350676960948868,269.0,1.7076112486510506,399.0,1.8185132856296433,529.0,1.907956430786987,508.0,1.9258472969899163,590.0,2.0595524836806645,387,2.054794520547945,587.0,2.332975636898375,766,1.8429853475446913,142.0,1.7593854540949079,619,1.6587169730424998,518,1.976721999618393,386.0,1.9002609166543591,524.0,1.697111024744138,203.0,1.6695451928612552,293.0,1.9385999735344717,459,1.5499949346570765,406.0,1.8974622610646352,1.8636960706002805,Music,Rapper,Person
Music Producer,225,0.8414675193537532,722,1.9641448352784356,861,2.408526351124539,140.0,0.8887196089633721,415.0,1.8914361241511326,400.0,1.4426891726177595,674.0,2.5551596026992196,455.0,1.5882989492791564,322,1.7096739938409256,494.0,1.9633559874408815,742,1.785241681303082,69.0,0.8549126502292157,594,1.5917251728388444,473,1.8049990459835903,374.0,1.8411854477428249,641.0,2.076046119963726,187.0,1.5379554239657867,358.0,2.368664814079662,487,1.6445480025664407,186.0,0.8692807402906949,1.8633960902426852,Music,Rapper,Person
