jobs,latto_count,latto_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Artist,484.0,18.78881987577639,7421,17.85482279912422,1240.0,15.363647627307644,5968,15.992282544616538,4614,17.60732684602175,4359.0,21.4591640821149,6148.0,19.91190568726519,2576.0,21.185952792170408,3263.0,21.589254995368538,6599,22.28413196906764,3929.0,18.36238725054914,19.259371094545237,Music,Rapper,Person
Entrepreneur,229.0,8.889751552795028,3753,9.029665808531627,644.0,7.97918473547268,4137,11.08580309770084,2091,7.979393245563822,1041.0,5.124796928075616,2597.0,8.411063609275814,951.0,7.821366888724402,1472.0,9.739314542807994,2625,8.864350116502889,1634.0,7.636584567930083,8.893430504379904,Music,Rapper,Person
Producer,138.0,5.357142857142855,3093,7.4417149868873755,278.0,3.444430677735102,2609,6.991264269253443,2091,7.979393245563822,1632.0,8.03426377196869,2526.0,8.181111542945978,804.0,6.612385886997287,1534.0,10.149530236866482,2098,7.084726302637357,857.0,4.005234378651213,7.50841263688367,Music,Rapper,Person
Content Creator,195.0,7.569875776397512,2600,6.2555638428409885,883.0,10.940403915252137,2130,5.707701377351411,1396,5.327227628315206,1501.0,7.3893565696844385,1789.0,5.794144319212334,1024.0,8.421745209309975,823.0,5.4452825195183285,2126,7.179279370546719,1898.0,8.870402392858812,6.945116823546033,Music,Rapper,Person
Designer,82.0,3.183229813664595,2216,5.331665182975242,481.0,5.959608474786272,2278,6.10429283455705,1602,6.113337149398969,1102.0,5.4250972283759165,1518.0,4.916439953361835,514.0,4.227321325766921,682.0,4.512372634643378,1340,4.52503967851957,1169.0,5.463382717203346,5.374603636459903,Music,Rapper,Person
Writer,138.0,5.357142857142855,2048,4.927459519283977,491.0,6.083508858877463,1830,4.903799774907551,1628,6.212554855943521,1037.0,5.105105105105104,1776.0,5.752040419743491,560.0,4.605641911341393,589.0,3.897049093555645,1184,3.9982440144531126,1221.0,5.706407440295369,5.198472413747561,Music,Rapper,Person
Onlyfans,152.0,5.90062111801242,1635,3.9337872627096218,593.0,7.347292776607607,1088,2.9154831448630687,760,2.900209883609998,702.0,3.455914931324767,1135.0,3.6759942997797648,677.0,5.567892096389506,688.0,4.55207092761678,1585,5.352379022726505,1357.0,6.342010562228349,4.594196781489827,Music,Rapper,Person
CEO,136.0,5.27950310559006,1691,4.0685224839400425,281.0,3.481600792962458,1570,4.207085052789538,863,3.293264644151879,539.0,2.6534731452764238,1218.0,3.9448115040808402,566.0,4.654988074677194,822.0,5.438666137356095,1471,4.967412960524094,877.0,4.098705425994298,4.21221477599007,Music,Rapper,Person
Creator,93.0,3.6102484472049676,1411,3.3948463777879363,223.0,2.762978565233552,1308,3.5050109866552326,872,3.3276092348788393,754.0,3.711908629941417,959.0,3.105972276201581,393.0,3.232173698494942,518.0,3.427285960037052,1072,3.6200317428156557,551.0,2.575127354302005,3.354281248373185,Music,Rapper,Person
Musician,59.0,2.2903726708074523,1324,3.185525587662103,255.0,3.1594597943253624,1061,2.843132000643121,947,3.61381415760351,771.0,3.7955988775660905,1110.0,3.5950252623396817,367.0,3.0183403240398055,445.0,2.9442900621939927,845,2.8534765136933107,728.0,3.402346123288312,3.263422087632999,Music,Rapper,Person
Gamer,64.0,2.48447204968944,1223,2.9425209922286646,194.0,2.403667451369099,942,2.524251031673723,779,2.972715130700248,705.0,3.4706837985526504,859.0,2.782096126441249,317.0,2.607122296241467,338.0,2.2363371708349877,680,2.296288792084558,489.0,2.28536710753844,2.733782049368854,Music,Rapper,Person
Model,87.0,3.3773291925465827,1027,2.4709477179221904,348.0,4.311733366373436,635,1.7015917251728387,415,1.5836672390765119,389.0,1.9150297838822428,648.0,2.0987174504469497,305.0,2.5084299695698657,315.0,2.084160381103613,726,2.451625975078513,907.0,4.238911997008927,2.623367390733793,Music,Rapper,Person
Songwriter,56.0,2.1739130434782603,992,2.3867382046531773,153.0,1.8956758765952173,588,1.575647140789967,541,2.064491509253959,363.0,1.7870329345739182,807.0,2.613680528565877,304.0,2.500205609013899,335.0,2.2164880243482865,686,2.316550163779421,474.0,2.2152638220311256,2.212209825053034,Music,Rapper,Person
DJ,64.0,2.48447204968944,766,1.8429853475446913,142.0,1.7593854540949079,619,1.6587169730424998,518,1.976721999618393,386.0,1.9002609166543591,524.0,1.697111024744138,203.0,1.6695451928612552,293.0,1.9385999735344717,459,1.5499949346570765,406.0,1.8974622610646352,1.7997226562071362,Music,Rapper,Person
Coach,49.0,1.9021739130434774,793,1.9079469720665014,107.0,1.3257341097757402,759,2.033871054182968,489,1.8660560961648536,181.0,0.8910549894156452,620.0,2.0080321285140563,219.0,1.8011349617567234,206.0,1.3629747254201403,484,1.6344173167190088,280.0,1.3085946628031968,1.77769722741449,Music,Rapper,Person
Music Producer,34.0,1.319875776397515,742,1.785241681303082,69.0,0.8549126502292157,594,1.5917251728388444,473,1.8049990459835903,374.0,1.8411854477428249,641.0,2.076046119963726,187.0,1.5379554239657867,358.0,2.368664814079662,487,1.6445480025664407,186.0,0.8692807402906949,1.7720803525272235,Music,Rapper,Person
Editor,19.0,0.7375776397515525,528,1.2703606573154007,78.0,0.9664229959112872,715,1.9159654858245352,559,2.13318069070788,565.0,2.7814699945847488,396.0,1.2825495530509137,154.0,1.266551525618883,131.0,0.8667460632526136,303,1.023199270590619,231.0,1.0795905968126374,1.7042501686332594,Music,Rapper,Person
