nationality,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Nigeria,1083.0,5.465832239830423,1490,5.093668808970327,1944.0,8.59986728599867,434.0,2.786337955829482,1424.0,10.568502300727326,752,2.8278118301808752,1643.0,10.112013786312161,1398,8.774242138956883,1019.0,10.58921334303232,1476.0,13.62000553658762,1833,6.013976836510384,386.0,6.611853374443302,1122,4.47654005745292,1003,6.501588124716403,598.0,4.307116104868913,1293.0,7.554335125029213,751.0,11.437709412123057,619.0,6.964446444644466,1658.0,10.42177383870765,1218.0,7.655081390233172,8.008701253913651,Music,Rapper,Person
Mexico,1764.0,8.902796002826284,2821,9.643785040339123,1660.0,7.343508073435078,1535.0,9.854904982023626,851.0,6.315867596853199,2454,9.227992328808334,927.0,5.705317577548006,1018,6.3892550053348405,537.0,5.580380338771692,359.0,3.312724923871921,1966,6.450342859017683,328.0,5.618362452894826,1713,6.834503670603254,1325,8.588837751993255,1748.0,12.590031691155287,1277.0,7.460855340032717,355.0,5.406640268047518,568.0,6.390639063906391,917.0,5.764032937331069,892.0,5.606184400729056,7.963575721312381,Music,Rapper,Person
South Africa,748.0,3.775108509134956,925,3.1621769451661423,1172.0,5.184693651846936,325.0,2.0865434001027223,563.0,4.178417693335312,822,3.0910389952243076,939.0,5.77917282127031,806,5.058683236050963,573.0,5.954484048633483,960.0,8.858540186398452,1734,5.6891630302831455,230.0,3.9397053785543,1121,4.472550271305456,872,5.652427562066504,417.0,3.0034572169403626,1342.0,7.840616966580978,293.0,4.462381967712458,434.0,4.882988298829884,772.0,4.852599157709473,789.0,4.958833511407202,5.202404672772921,Music,Rapper,Person
United Kingdom,813.0,4.1031593822549715,1540,5.264597292492821,1034.0,4.574209245742092,842.0,5.405752439650745,551.0,4.089357280688733,1320,4.963712255104727,732.0,4.5051698670605616,767,4.813908240758175,514.0,5.341369635248883,553.0,5.102888253206609,1562,5.124840053807539,329.0,5.635491606714628,1708,6.814554739865943,818,5.302391910287157,701.0,5.048977239988475,826.0,4.825893900444029,298.0,4.538531830642705,375.0,4.21917191719172,730.0,4.588597649129424,800.0,5.027968072402741,5.100541878606463,Music,Rapper,Person
Jamaica,1288.0,6.50045422428586,1227,4.194584985642008,1138.0,5.034284450342843,417.0,2.6771956856702617,835.0,6.197120379991094,749,2.816530665964728,849.0,5.225258493353028,628,3.9415050524069537,400.0,4.156707887353216,627.0,5.785734059241489,1108,3.6352898717149507,224.0,3.8369304556354913,590,2.3539738270028723,485,3.143838724314513,360.0,2.5929127052722554,730.0,4.2650151904650615,407.0,6.198598842522083,535.0,6.01935193519352,972.0,6.109749198566849,961.0,6.039846646973792,4.761515046022009,Music,Rapper,Person
Canada,594.0,2.9978802866659935,1445,4.939833173800082,902.0,3.990267639902676,578.0,3.7108371854134563,542.0,4.0225619712038,941,3.5385251757981435,626.0,3.8527818808468735,711,4.462436452645453,404.0,4.198274966226748,403.0,3.71874134908185,1743,5.718691558121985,146.0,2.50085645769099,1273,5.078997765719756,687,4.453231347637257,560.0,4.033419763756842,770.0,4.498714652956298,218.0,3.3201340237587575,388.0,4.365436543654366,645.0,4.054308881765039,472.0,2.9665011627176163,4.339800382918087,Music,Rapper,Person
Brazil,653.0,3.2956495407287774,601,2.05456037194038,454.0,2.008405220084052,1194.0,7.665639445300464,222.0,1.647617633961704,1907,7.171060053397511,332.0,2.0433284096504187,408,2.560723027678403,242.0,2.514808271848696,132.0,1.2180492756297872,849,2.785524459463893,214.0,3.6656389174374784,823,3.2835939993616337,407,2.638231671744344,574.0,4.134255257850763,301.0,1.7585884552465532,98.0,1.492537313432836,160.0,1.8001800180018006,300.0,1.8857250612860643,512.0,3.2178995663377536,4.089419292742831,Music,Rapper,Person
Puerto Rico,958.0,4.834965176138085,1470,5.0252974155613295,772.0,3.415173634151736,662.0,4.250128402670775,568.0,4.21552619860472,977,3.6738991463919084,568.0,3.495814869522403,477,2.993786480888722,304.0,3.159097994388445,311.0,2.8697979145519983,962,3.1562715312182155,182.0,3.1175059952038366,665,2.6532077880625593,415,2.690088805341284,589.0,4.242293287237107,643.0,3.7567188595466234,325.0,4.949741090466038,319.0,3.58910891089109,669.0,4.205166886667923,477.0,2.997925963170134,3.826456786524041,Music,Rapper,Person
Haiti,645.0,3.255274048652468,751,2.5673458225078627,854.0,3.777925237779252,194.0,1.2455059065228555,1102.0,8.178714561377467,367,1.3800624224419962,600.0,3.6927621861152145,296,1.8577794514529593,203.0,2.109529252831757,441.0,4.0693918981267885,562,1.8438925161586663,90.0,1.541623843782117,355,1.4163740823491857,311,2.0159460685810586,219.0,1.5773552290406223,410.0,2.395419490535172,268.0,4.081632653061225,414.0,4.657965796579658,612.0,3.8468791250235714,322.0,2.023757149142103,3.511988819164977,Music,Rapper,Person
Ghana,364.0,1.8370848894720904,604,2.06481608095173,714.0,3.1585932315859324,154.0,0.9887005649717515,455.0,3.376873979516105,328,1.2334072876320836,613.0,3.7727720334810435,488,3.0628255821251495,342.0,3.5539852436870003,754.0,6.957645104733784,798,2.6181961350438003,137.0,2.3466940733127784,476,1.8991382061921476,663,4.297659946846436,230.0,1.6565831172572745,647.0,3.780088805795747,283.0,4.310082241851965,308.0,3.4653465346534658,537.0,3.3754478597020547,371.0,2.331720193576771,3.2904085074016676,Music,Rapper,Person
