city,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
New York City,434.0,19.374999999999996,211.0,16.839584996009577,274.0,17.008069522036003,953.0,23.938708867118812,268.0,13.75770020533881,248.0,14.735591206179441,68.0,8.729139922978176,236.0,19.032258064516128,112.0,12.888377445339472,144.0,11.302982731554161,278.0,15.715093273035613,18.38261359046418,Retail,Luxury Retail,Company
New York,208.0,9.285714285714285,143.0,11.412609736632083,169.0,10.490378646803228,552.0,13.865862848530517,164.0,8.41889117043121,185.0,10.992275698158052,81.0,10.397946084724003,146.0,11.774193548387096,83.0,9.551208285385501,105.0,8.241758241758243,172.0,9.723007348784623,11.103729711934879,Retail,Luxury Retail,Company
Georgia,123.0,5.491071428571429,40.0,3.192338387869114,44.0,2.7312228429546868,82.0,2.0597839738759105,214.0,10.985626283367555,163.0,9.68508615567439,51.0,6.546854942233632,109.0,8.790322580645162,137.0,15.765247410817034,181.0,14.207221350078495,250.0,14.132278123233466,10.457829794828701,Retail,Luxury Retail,Company
Chicago,169.0,7.544642857142857,170.0,13.567438148443737,186.0,11.545623836126628,313.0,7.862346144184877,161.0,8.264887063655031,128.0,7.605466428995841,70.0,8.985879332477536,68.0,5.483870967741936,61.0,7.0195627157652485,111.0,8.712715855572998,115.0,6.5008479366873955,8.787933699955632,Retail,Luxury Retail,Company
Brooklyn,187.0,8.348214285714285,64.0,5.107741420590583,102.0,6.33147113594041,383.0,9.620698317005775,79.0,4.055441478439425,69.0,4.09982174688057,24.0,3.0808729139922972,45.0,3.6290322580645165,32.0,3.6823935558112773,58.0,4.552590266875982,59.0,3.335217637083098,6.930788278002146,Retail,Luxury Retail,Company
Florida,89.0,3.9732142857142847,57.0,4.549082202713488,64.0,3.972687771570453,142.0,3.5669429791509666,173.0,8.880903490759755,131.0,7.78371954842543,75.0,9.62772785622593,87.0,7.016129032258064,70.0,8.055235903337168,110.0,8.634222919937205,139.0,7.857546636517807,6.920007101208814,Retail,Luxury Retail,Company
Miami,79.0,3.5267857142857135,86.0,6.863527533918595,116.0,7.200496585971446,300.0,7.5357950263752835,128.0,6.570841889117044,116.0,6.892453951277481,66.0,8.472400513478819,95.0,7.661290322580645,53.0,6.098964326812428,82.0,6.436420722135009,117.0,6.613906161673262,6.879909220817995,Retail,Luxury Retail,Company
Washington DC,121.0,5.401785714285714,66.0,5.267358339984038,72.0,4.4692737430167595,147.0,3.6925395629238875,116.0,5.95482546201232,98.0,5.82293523469994,46.0,5.905006418485236,79.0,6.370967741935483,52.0,5.983889528193327,61.0,4.788069073783359,105.0,5.9355568117580555,5.325716339328366,Retail,Luxury Retail,Company
Texas,92.0,4.107142857142857,49.0,3.910614525139665,67.0,4.158907510862818,136.0,3.4162270786234608,112.0,5.749486652977413,83.0,4.931669637551991,70.0,8.985879332477536,58.0,4.67741935483871,51.0,5.868814729574224,79.0,6.200941915227629,85.0,4.804974561899378,5.0611232445426975,Retail,Luxury Retail,Company
Atlanta,204.0,9.107142857142856,41.0,3.2721468475658417,54.0,3.35195530726257,113.0,2.838482793268023,51.0,2.618069815195072,38.0,2.2578728461081403,24.0,3.0808729139922972,27.0,2.1774193548387095,19.0,2.186421173762946,36.0,2.8257456828885403,34.0,1.9219898247597516,4.765113585038441,Retail,Luxury Retail,Company
Houston,124.0,5.535714285714285,70.0,5.5865921787709505,97.0,6.021104903786468,159.0,3.9939713639788996,78.0,4.004106776180698,68.0,4.04040404040404,44.0,5.648267008985879,42.0,3.387096774193548,30.0,3.452243958573072,60.0,4.709576138147567,62.0,3.5048049745619,4.649721892269102,Retail,Luxury Retail,Company
Tokyo,8.0,0.35714285714285715,51.0,4.07023144453312,111.0,6.890130353817504,87.0,2.185380557648832,90.0,4.620123203285422,55.0,3.2679738562091507,18.0,2.310654685494223,44.0,3.5483870967741935,21.0,2.416570771001151,40.0,3.139717425431711,81.0,4.5788581119276435,4.135092708871463,Retail,Luxury Retail,Company
Queens,50.0,2.2321428571428568,19.0,1.5163607342378294,39.0,2.4208566108007448,136.0,3.4162270786234608,72.0,3.696098562628337,66.0,3.9215686274509802,11.0,1.4120667522464698,54.0,4.354838709677419,25.0,2.8768699654775607,39.0,3.061224489795919,58.0,3.278688524590164,3.2628266722411032,Retail,Luxury Retail,Company
