interests,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Fashion,999.0,17.94825727632052,1866.0,31.131131131131134,1546.0,20.723860589812336,2041.0,22.443369254453486,6477.0,23.756602112676052,9199,44.035423647678314,413.0,7.956077827008282,7824.0,45.483083362399725,4248.0,40.09816877477817,4110.0,22.6721094439541,8868.0,38.08460382220313,35.158318604019584,Retail,Luxury Retail,Company
BTS Enthusiast,51.0,0.9162773984908372,74.0,1.2345679012345678,57.0,0.7640750670241286,23.0,0.2529140092368594,3759.0,13.787411971830984,979,4.686452848252753,47.0,0.9054132151801193,744.0,4.325078479246599,701.0,6.61695299225977,4047.0,22.324580759046775,1865.0,8.009448142581057,13.751232881560083,Retail,Luxury Retail,Company
NFT Enthusiast,45.0,0.8084800574919153,341.0,5.689022355689023,1582.0,21.206434316353885,1171.0,12.876621948537496,2967.0,10.882482394366198,510,2.4413595021541408,369.0,7.108456944712,359.0,2.0869666317870013,254.0,2.397583537851614,1120.0,6.1782877316857885,1419.0,6.094051964784194,10.228394009648897,Retail,Luxury Retail,Company
Black Lives Matter,1171.0,21.038447718289618,214.0,3.570236903570237,182.0,2.439678284182306,252.0,2.771057840334286,218.0,0.7995892018779341,269,1.2876974629009097,60.0,1.155846657676748,230.0,1.3370538309498894,128.0,1.2082310741929392,87.0,0.4799205648720211,297.0,1.2754992484432033,9.013894847652379,Retail,Luxury Retail,Company
Beauty,417.0,7.491915199425081,167.0,2.78611945278612,137.0,1.836461126005362,221.0,2.430173740928084,1842.0,6.756161971830984,1879,8.994734322642413,148.0,2.851088422269312,1573.0,9.14428554819207,910.0,8.589767793090427,1175.0,6.481685789938216,1852.0,7.953618209147518,7.624525043520398,Retail,Luxury Retail,Company
United States Army,79.0,1.4193316564858067,62.0,1.0343677010343677,80.0,1.0723860589812335,125.0,1.3745326588959752,1751.0,6.422388497652581,406,1.9435136428913358,94.0,1.8108264303602386,311.0,1.8079293105452854,351.0,3.3131961487634505,1595.0,8.798543689320388,784.0,3.3669744470689276,5.5050257117821975,Retail,Luxury Retail,Company
Cryptocurrency,34.0,0.6108515989938915,243.0,4.054054054054054,689.0,9.235924932975871,620.0,6.817681988124037,1482.0,5.435739436619719,347,1.6610818573480135,542.0,10.44114814101329,241.0,1.4009998837344495,189.0,1.784028695488012,668.0,3.684907325684024,696.0,2.9890487438264968,5.408520458641105,Retail,Luxury Retail,Company
Video Games,123.0,2.209845490477902,442.0,7.374040707374041,597.0,8.002680965147455,533.0,5.861007257532439,468.0,1.716549295774648,244,1.1680229775011968,204.0,3.9298786361009426,195.0,1.1335891175444714,158.0,1.4914102322069094,228.0,1.257722859664607,273.0,1.1724286021043588,4.1518669050883785,Retail,Luxury Retail,Company
Photographer,218.0,3.9166367229608348,401.0,6.690023356690024,389.0,5.214477211796247,694.0,7.631405322190453,731.0,2.68119131455399,595,2.8482527525131642,252.0,4.854555962242341,498.0,2.8950122078828042,330.0,3.1149707381536715,420.0,2.3168578993821702,667.0,2.86450504616706,4.060158623377619,Retail,Luxury Retail,Company
Entertainment,116.0,2.0840819259791594,303.0,5.055055055055055,283.0,3.7935656836461127,366.0,4.024631625247416,551.0,2.0209800469483565,604,2.891335567257061,192.0,3.6987093045655937,560.0,3.2554354144866875,276.0,2.605248253728525,364.0,2.007943512797881,502.0,2.1558943525875023,2.9743383719152403,Retail,Luxury Retail,Company
Investor,57.0,1.0240747394897594,157.0,2.6192859526192858,208.0,2.788203753351207,293.0,3.2219045524521657,489.0,1.793573943661972,212,1.0148396361895644,348.0,6.703910614525138,154.0,0.8952447389838392,121.0,1.1421559373230128,258.0,1.423212709620476,294.0,1.262615417650848,2.482900615417348,Retail,Luxury Retail,Company
Technology,64.0,1.1498383039885016,159.0,2.6526526526526526,163.0,2.184986595174263,253.0,2.782054101605454,424.0,1.5551643192488263,381,1.8238391574916233,314.0,6.048930841841648,314.0,1.8253691431228927,209.0,1.9728148008306585,231.0,1.274271844660194,373.0,1.6018896285162116,2.317627879555617,Retail,Luxury Retail,Company
Blogger,154.0,2.766798418972332,76.0,1.2679346012679347,63.0,0.8445040214477213,136.0,1.4954915328788212,435.0,1.5955105633802817,574,2.7477261847774064,85.0,1.6374494317087263,525.0,3.0519707010812693,281.0,2.652444780064187,247.0,1.3625330979699908,508.0,2.1816620141722134,2.2639161136616406,Retail,Luxury Retail,Company
