jobs,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Designer,597.0,6.877087893099872,1378.0,13.775867239828054,1205.0,11.821838516629056,1665.0,11.871657754010695,3251.0,12.261446782831714,3624,16.244564973777404,513.0,6.406893967778194,3018.0,17.083663534472997,1905.0,15.77639751552795,2036.0,12.169754931261206,3709,15.740780036497897,14.143142381231984,Retail,Luxury Retail,Company
Artist,1047.0,12.060822485888721,1134.0,11.336599020293914,1518.0,14.892573334641417,1496.0,10.666666666666668,3971.0,14.976993286565591,2755,12.349276076919633,539.0,6.731609841388783,2120.0,12.000452847277256,1461.0,12.099378881987581,2389.0,14.279736999402271,3130,13.28353774986207,12.986168606488118,Retail,Luxury Retail,Company
Entrepreneur,753.0,8.674115885266673,1097.0,10.9667099870039,1151.0,11.292063180614145,1864.0,13.290552584670232,3108.0,11.722109074451236,2284,10.238020529831013,1416.0,17.684526039715244,1718.0,9.724895279067134,1287.0,10.658385093167704,2001.0,11.960549910340704,2397,10.172728430165934,11.529245635556208,Retail,Luxury Retail,Company
Model,310.0,3.571017163921207,194.0,1.9394181745476358,170.0,1.6678112430099086,197.0,1.404634581105169,1413.0,5.329260013577733,1459,6.53996145053566,125.0,1.5611340077432245,1111.0,6.288916562889166,717.0,5.937888198757766,960.0,5.738194859533772,1475,6.259814115350336,5.570906198760956,Retail,Luxury Retail,Company
Writer,763.0,8.789309987328647,298.0,2.9791062681195646,282.0,2.7666045325223187,478.0,3.4081996434937603,1225.0,4.620200648713887,1055,4.729033125644359,328.0,4.096415636318221,873.0,4.941695913053323,575.0,4.761904761904763,799.0,4.775851763299462,1088,4.617408649153332,4.879915134760468,Retail,Luxury Retail,Company
Content Creator,390.0,4.492569980417002,413.0,4.128761371588523,386.0,3.7869125870695566,570.0,4.064171122994653,1491.0,5.623444218148903,1035,4.639383208570533,290.0,3.621830897964281,695.0,3.9341107211592887,515.0,4.2650103519668745,1074.0,6.419605499103407,1119,4.748970844120017,4.839771422807804,Retail,Luxury Retail,Company
Producer,343.0,3.951157700725722,740.0,7.397780665800262,790.0,7.750416952810752,752.0,5.361853832442067,655.0,2.4703929999245684,568,2.5460576448966785,274.0,3.422005744973148,510.0,2.886901392505377,286.0,2.3685300207039344,393.0,2.3490735206216375,563,2.389339218265925,4.3249147360775755,Retail,Luxury Retail,Company
CEO,344.0,3.96267711093192,382.0,3.818854343696891,410.0,4.022368291965073,493.0,3.5151515151515142,1072.0,4.043147016670439,905,4.056658747590659,488.0,6.094667166229549,650.0,3.6793841277029324,470.0,3.892339544513458,651.0,3.8912133891213387,904,3.83652336289946,4.048785290736562,Retail,Luxury Retail,Company
Director,324.0,3.7322889068079714,474.0,4.738578426472059,388.0,3.80653389581085,772.0,5.504456327985739,676.0,2.549596439616807,616,2.7612174458738634,496.0,6.194579742725114,549.0,3.1076644401675537,352.0,2.9151138716356115,365.0,2.1817095038852363,677,2.8731485804014767,3.7181130826650888,Retail,Luxury Retail,Company
Onlyfans,153.0,1.7624697615482083,295.0,2.949115265420374,328.0,3.217894633572058,315.0,2.2459893048128343,935.0,3.5264388624877423,678,3.0391321888027263,175.0,2.1855876108405146,494.0,2.7963319370542283,417.0,3.4534161490683246,679.0,4.058577405857741,763,3.238127572889699,3.1901300932212284,Retail,Luxury Retail,Company
Creator,334.0,3.847483008869945,314.0,3.139058282515246,343.0,3.365054449131756,503.0,3.5864527629233507,771.0,2.9078977144150264,478,2.142633018064459,168.0,2.098164106406894,375.0,2.122721612136307,254.0,2.1035196687370608,450.0,2.689778840406455,538,2.2832406739379527,2.786369455161659,Retail,Luxury Retail,Company
DJ,200.0,2.303882041239488,410.0,4.098770368889333,454.0,4.45403708427352,513.0,3.6577540106951862,274.0,1.033416308365392,255,1.1430364426912907,121.0,1.5111777194954414,248.0,1.403826559492811,144.0,1.192546583850932,147.0,0.8786610878661086,242,1.027033909094767,2.558143899409136,Retail,Luxury Retail,Company
Coach,149.0,1.716392120723419,221.0,2.2093371988403483,198.0,1.942509565388011,530.0,3.7789661319073082,489.0,1.8443086671192581,431,1.9319557129409657,350.0,4.371175221681029,327.0,1.8510132457828596,265.0,2.1946169772256736,354.0,2.1159593544530786,438,1.8588464966260658,2.437634668499692,Retail,Luxury Retail,Company
