nationality,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Italy,77.0,1.0181145048261273,355.0,5.168899242865464,243.0,3.5242929659173305,244.0,3.1766697044655645,1068,5.1872359026664725,2368.0,12.15605749486653,320.0,4.9261083743842375,1526.0,9.559606590239932,1250.0,11.009335916857497,628.0,4.4135216810738624,2346.0,10.308915937953156,9.088994664491276,Retail,Luxury Retail,Company
United Kingdom,186.0,2.459341531138437,473.0,6.88701223063483,426.0,6.1783901377809975,389.0,5.0644447337586245,1372,6.66375248919326,1390.0,7.13552361396304,551.0,8.48214285714286,1186.0,7.429681137630773,805.0,7.0900123304562275,811.0,5.6996275212594,1528.0,6.714417541855254,6.740468810115157,Retail,Luxury Retail,Company
Mexico,389.0,5.143461589316409,487.0,7.090856144437977,635.0,9.209572153734586,527.0,6.861085796120298,1317,6.396619554130847,1114.0,5.718685831622176,318.0,4.895320197044336,900.0,5.63803796278895,562.0,4.94979742821913,731.0,5.137395459976105,1174.0,5.158852221294547,6.0016616059420285,Retail,Luxury Retail,Company
Jamaica,875.0,11.569483009387808,127.0,1.8491555037856735,202.0,2.9296591733139943,291.0,3.788569196719177,308,1.4959444363495074,228.0,1.1704312114989732,44.0,0.6773399014778327,160.0,1.002317860051369,103.0,0.9071692795490576,170.0,1.194743130227001,204.0,0.8964274728654918,4.959293569224624,Retail,Luxury Retail,Company
India,50.0,0.6611133148221605,83.0,1.208503203261503,59.0,0.855692530819434,91.0,1.1847415701080588,923,4.482976346592841,517.0,2.6540041067761813,727.0,11.19150246305419,430.0,2.693729248888054,549.0,4.835300334683812,528.0,3.710731604469745,668.0,2.9353605484026892,4.685569502662738,Retail,Luxury Retail,Company
France,72.0,0.9520031733439109,369.0,5.37274315666861,218.0,3.1617113850616376,241.0,3.1376122900663974,661,3.210452183204624,895.0,4.594455852156058,277.0,4.264162561576355,995.0,6.233164192194449,449.0,3.9545534613352133,674.0,4.736805116311758,1162.0,5.106121193478929,4.659127949121092,Retail,Luxury Retail,Company
Haiti,726.0,9.59936533121777,92.0,1.3395457192778106,108.0,1.566352429296591,190.0,2.473636245280562,129,0.6265481567827482,119.0,0.6108829568788501,41.0,0.6311576354679804,108.0,0.6765645555346739,59.0,0.5196406552756738,119.0,0.8363201911589008,112.0,0.49215625961242687,4.530950087208128,Retail,Luxury Retail,Company
Japan,52.0,0.6875578474150469,301.0,4.382644146767619,687.0,9.963741841914427,382.0,4.973310766827236,607,2.948176210597892,526.0,2.7002053388090346,148.0,2.27832512315271,418.0,2.6185554093842014,241.0,2.1225999647701257,443.0,3.1133600393562446,666.0,2.926572043766753,4.155957408198299,Retail,Luxury Retail,Company
China,31.0,0.40989025518973954,197.0,2.8683750728013986,309.0,4.481508339376358,198.0,2.577789350345007,907,4.405264947301958,742.0,3.8090349075975363,146.0,2.2475369458128083,580.0,3.6334022426862123,346.0,3.047384181786155,591.0,4.15348935273034,826.0,3.6296524146416487,3.7425729094666376,Retail,Luxury Retail,Company
Brazil,53.0,0.7007801137114901,155.0,2.256843331391963,126.0,1.8274111675126894,109.0,1.4190860565030594,865,4.201272524163389,623.0,3.198151950718686,191.0,2.940270935960592,474.0,2.9693666604021804,399.0,3.514180024660913,654.0,4.596247100990934,868.0,3.814211011996308,3.561289746835653,Retail,Luxury Retail,Company
Nigeria,641.0,8.475472696020098,179.0,2.6062900407687835,133.0,1.9289340101522838,165.0,2.148157791954173,537,2.608188838700277,556.0,2.854209445585216,99.0,1.5240147783251234,363.0,2.2740086449915435,233.0,2.052140214902237,467.0,3.2820296577412327,441.0,1.937865272223931,3.4975442420217266,Retail,Luxury Retail,Company
Colombia,107.0,1.4147824937194233,135.0,1.9656377402446135,147.0,2.1319796954314714,201.0,2.6168467647441735,416,2.0204963815629706,449.0,2.304928131416838,157.0,2.416871921182267,648.0,4.0593873332080435,415.0,3.655099524396689,259.0,1.8202262984046664,1187.0,5.2159775014281315,3.4751689769692833,Retail,Luxury Retail,Company
Puerto Rico,431.0,5.6987967737670235,214.0,3.115899825276646,288.0,4.176939811457577,506.0,6.587683895326128,330,1.602797610374472,306.0,1.570841889117043,78.0,1.200738916256158,198.0,1.2403683518135689,130.0,1.1449709353531794,217.0,1.5250544662309367,296.0,1.300698686118557,3.2975791380484867,Retail,Luxury Retail,Company
Philippines,147.0,1.943673145577152,228.0,3.319743739079792,305.0,4.423495286439447,336.0,4.374430412706678,738,3.5844382922920004,531.0,2.7258726899383983,76.0,1.1699507389162564,471.0,2.950573200526217,295.0,2.598203276378369,530.0,3.7247874060018273,681.0,2.992485828536274,3.276043439041855,Retail,Luxury Retail,Company
Dominican Republic,447.0,5.910353034510115,155.0,2.256843331391963,205.0,2.9731689630166773,491.0,6.392396823330296,266,1.2919520132109379,231.0,1.1858316221765914,62.0,0.9544334975369461,167.0,1.0461692664286162,103.0,0.9071692795490576,154.0,1.0822967179703424,244.0,1.0721975655842158,3.21311082035908,Retail,Luxury Retail,Company
Canada,192.0,2.5386751289170966,263.0,3.8293535235876544,282.0,4.089920232052211,325.0,4.231219893243067,683,3.317305357229589,536.0,2.7515400410677624,260.0,4.002463054187193,472.0,2.956837687151538,296.0,2.6070107451118556,437.0,3.0711926347599965,579.0,2.5442720921035282,3.1876953245997344,Retail,Luxury Retail,Company
South Africa,57.0,0.7536691788972629,336.0,4.892253931275483,131.0,1.8999274836838282,107.0,1.3930477802369483,713,3.463014230899996,528.0,2.7104722792607805,177.0,2.724753694581281,415.0,2.5997619495082382,276.0,2.430861370442135,406.0,2.85332771101272,469.0,2.0609043371270377,2.860878872212341,Retail,Luxury Retail,Company
