city,1future_count,1future_percent
Chicago,222,10.009017132551849
Atlanta,200,9.01713255184851
New York,182,8.205590622182145
Florida,163,7.348963029756537
Los Angeles,160,7.21370604147881
Georgia,159,7.168620378719566
Houston,156,7.0333633904418384
Miami,153,6.898106402164111
New York City,139,6.266907123534715
Brooklyn,89,4.012623985572588
Texas,88,3.967538322813345
DMV,73,3.2912533814247067
Washington DC,66,2.975653742110009
Cleveland,48,2.1641118124436423
New Orleans,45,2.028854824165915
Baltimore,43,1.93868349864743
Bronx,43,1.93868349864743
Queens,38,1.7132551848512172
Tennessee,37,1.6681695220919743
Tokyo,29,1.307484220018034
