nationality,1future_count,1future_percent
Nigeria,619,6.964446444644466
Mexico,568,6.390639063906391
Jamaica,535,6.01935193519352
South Africa,434,4.882988298829884
Haiti,414,4.657965796579658
Canada,388,4.365436543654366
United Kingdom,375,4.21917191719172
Puerto Rico,319,3.58910891089109
Ghana,308,3.4653465346534658
Dominican Republic,285,3.206570657065707
Italy,269,3.0265526552655264
France,182,2.047704770477048
Brazil,160,1.8001800180018006
Kenya,152,1.7101710171017102
Germany,147,1.653915391539154
Trinidad & Tobago,145,1.6314131413141315
Bahamas,120,1.3501350135013503
Japan,116,1.3051305130513053
Australia,115,1.293879387938794
India,114,1.2826282628262828
