jobs,1gunnagunna_count,1gunnagunna_percent
Artist,5816,22.04867692774282
Producer,2836,10.751383728864965
Entrepreneur,2012,7.627568428235653
Content Creator,1552,5.883690954583367
CEO,1431,5.424975358253091
Onlyfans,1278,4.844946546364396
Designer,1130,4.283872924406704
Writer,1026,3.8896049738418386
Musician,782,2.964591705208887
Creator,778,2.9494275532640843
Songwriter,685,2.596861020547427
Music Producer,674,2.5551596026992196
Model,633,2.399727045264994
Gamer,574,2.1760558040791573
DJ,508,1.9258472969899163
Influencer,383,1.4519675487148385
Fortnie,377,1.4292213207976348
Editor,332,1.2586246114186066
Streamer,297,1.125938281901585
Coach,297,1.125938281901585
