nationality,1gunnagunna_count,1gunnagunna_percent
Nigeria,1643,10.112013786312161
South Africa,939,5.77917282127031
Mexico,927,5.705317577548006
Jamaica,849,5.225258493353028
United Kingdom,732,4.5051698670605616
Canada,626,3.8527818808468735
Ghana,613,3.7727720334810435
Haiti,600,3.6927621861152145
Puerto Rico,568,3.495814869522403
Dominican Republic,489,3.0096011816839003
Italy,471,2.8988183161004435
Brazil,332,2.0433284096504187
Kenya,308,1.8956179222058098
France,299,1.8402264894140814
Germany,285,1.7540620384047265
Trinidad & Tobago,259,1.5940423436730675
Japan,202,1.2432299359921222
Senegal,195,1.2001477104874447
Spain,195,1.2001477104874447
Philippines,192,1.1816838995568686
