jobs,21savage_count,21savage_percent
Artist,7479,20.921450151057407
Producer,3884,10.864943493342286
Entrepreneur,2639,7.382231173771961
Content Creator,2117,5.922009622915969
CEO,1810,5.063220320017904
Onlyfans,1715,4.797471187199285
Writer,1542,4.313528029540115
Designer,1486,4.156875909141771
Musician,1049,2.9344298981761217
Gamer,1000,2.7973592928275712
Creator,951,2.6602886874790204
Songwriter,878,2.456081459102608
Model,863,2.4141210697101942
Music Producer,861,2.408526351124539
DJ,656,1.8350676960948868
Streamer,528,1.4770057066129576
Fortnie,525,1.4686136287344749
Editor,446,1.2476222446010967
Influencer,440,1.2308380888441315
Youtuber,421,1.1776882622804075
