city,armani_count,armani_percent
Georgia,137,15.765247410817034
New York City,112,12.888377445339472
New York,83,9.551208285385501
Florida,70,8.055235903337168
Chicago,61,7.0195627157652485
Miami,53,6.098964326812428
Washington DC,52,5.983889528193327
Texas,51,5.868814729574224
Brooklyn,32,3.6823935558112773
Houston,30,3.452243958573072
Queens,25,2.8768699654775607
Tokyo,21,2.416570771001151
Tampa,19,2.186421173762946
Atlanta,19,2.186421173762946
Bronx,17,1.9562715765247412
Tennessee,15,1.726121979286536
Cleveland,15,1.726121979286536
Connecticut,13,1.4959723820483317
Caracas,13,1.4959723820483317
New Orleans,11,1.2658227848101267
