interests,armani_count,armani_percent
Fashion,4248,40.09816877477817
Beauty,910,8.589767793090427
BTS Enthusiast,701,6.61695299225977
United States Army,351,3.3131961487634505
Photographer,330,3.1149707381536715
Blogger,281,2.652444780064187
Entertainment,276,2.605248253728525
Nature Lover,259,2.4447800641872752
NFT Enthusiast,254,2.397583537851614
Technology,209,1.9728148008306585
Health,199,1.878421748159335
Photography,199,1.878421748159335
Cryptocurrency,189,1.784028695488012
Video Games,158,1.4914102322069094
Finance,156,1.4725316216726447
Analyst,142,1.3403813479327917
Singer,138,1.3026241268642624
Black Lives Matter,128,1.2082310741929392
Investor,121,1.1421559373230128
Adult Content,119,1.1232773267887481
