nationality,armani_count,armani_percent
Italy,1250,11.009335916857497
United Kingdom,805,7.0900123304562275
Mexico,562,4.94979742821913
India,549,4.835300334683812
France,449,3.9545534613352133
Colombia,415,3.655099524396689
Brazil,399,3.514180024660913
China,346,3.047384181786155
Germany,315,2.7743526510480887
Canada,296,2.6070107451118556
Philippines,295,2.598203276378369
Spain,279,2.4572837766425932
South Africa,276,2.430861370442135
Japan,241,2.1225999647701257
Nigeria,233,2.052140214902237
Pakistan,217,1.9112207151664613
Ukraine,190,1.6734190593623393
Venezuela,181,1.5941518407609652
Algeria,177,1.5589219658270215
Argentina,168,1.4796547472256476
