jobs,bapeofficial_count,bapeofficial_percent
Artist,1518,14.892573334641417
Designer,1205,11.821838516629056
Entrepreneur,1151,11.292063180614145
Producer,790,7.750416952810752
DJ,454,4.45403708427352
CEO,410,4.022368291965073
Director,388,3.80653389581085
Content Creator,386,3.7869125870695566
Creator,343,3.365054449131756
Onlyfans,328,3.217894633572058
Gamer,310,3.041302854900421
Writer,282,2.7666045325223187
Coach,198,1.942509565388011
Model,170,1.6678112430099086
Music Producer,162,1.589326008044736
Editor,158,1.5500833905621503
Host,148,1.451976846855685
Musician,148,1.451976846855685
Chef,146,1.4323555381143918
Creative Director,146,1.4323555381143918
