interests,dojacat_count,dojacat_percent
Adult Content,1790,15.909696915829711
Black Lives Matter,1697,15.083103724113418
Video Games,1669,14.834236956714964
Fan Account,880,7.821526975379968
BTS Enthusiast,566,5.030663940983025
Fashion,499,4.435161318993869
Beauty,338,3.0041774064527607
Photographer,281,2.4975557728201947
United States Army,273,2.4264509821349223
Entertainment,264,2.346458092613991
Podcast,242,2.1509199182294916
Photography,230,2.0442627322015827
NFT Enthusiast,195,1.733179272953516
Singer,191,1.6976268776108798
Cosplay,191,1.6976268776108798
Nature Lover,173,1.5376410985690168
Cryptocurrency,156,1.3865434183628127
Health,132,1.1732290463069954
Vegan,122,1.0843480579504048
Technology,119,1.0576837614434276
