jobs,dojacat_count,dojacat_percent
Artist,3255,20.662730908398398
Content Creator,1517,9.629911762838823
Writer,1029,6.532089125880784
Designer,899,5.706849488986225
Onlyfans,739,4.6911699358852275
Gamer,728,4.621341966609535
Producer,637,4.043674220783343
Streamer,617,3.9167142766457177
Entrepreneur,560,3.5548784358534884
Creator,500,3.173998603440614
Model,428,2.716942804545166
Musician,392,2.4884149050974416
Editor,381,2.4185869358217484
CEO,371,2.355106963752936
Teacher,308,1.9551831397194186
DJ,269,1.7076112486510506
Director,238,1.5108233352377325
Host,208,1.3203834190312953
Songwriter,195,1.2378594553418396
Author,180,1.1426394972386211
