city,drake_count,drake_percent
Chicago,483,10.766830138207759
New York City,478,10.65537226928221
New York,416,9.273294694605438
Miami,327,7.289344627730716
Florida,321,7.155595185020062
Houston,290,6.464556397681677
Texas,256,5.706642888987962
Brooklyn,255,5.684351315202853
Georgia,255,5.684351315202853
Atlanta,230,5.127061970575123
Washington DC,224,4.993312527864466
DMV,120,2.6749888542131073
Cleveland,119,2.652697280427998
Queens,118,2.6304057066428888
Bronx,106,2.3629068212215785
Tampa,92,2.0508247882300488
Tennessee,81,1.805617476593847
Baltimore,76,1.694159607668301
Connecticut,60,1.3374944271065536
New Orleans,58,1.2929112795363351
