jobs,drake_count,drake_percent
Artist,7421,17.85482279912422
Entrepreneur,3753,9.029665808531627
Producer,3093,7.4417149868873755
Content Creator,2600,6.2555638428409885
Designer,2216,5.331665182975242
Writer,2048,4.927459519283977
CEO,1691,4.0685224839400425
Onlyfans,1635,3.9337872627096218
Creator,1411,3.3948463777879363
Musician,1324,3.185525587662103
Gamer,1223,2.9425209922286646
Model,1027,2.4709477179221904
Songwriter,992,2.3867382046531773
Coach,793,1.9079469720665014
DJ,766,1.8429853475446913
Music Producer,742,1.785241681303082
Teacher,703,1.691408223660467
Director,614,1.4772754613478334
Influencer,546,1.3136684069966076
Editor,528,1.2703606573154007
