nationality,drake_count,drake_percent
Mexico,1966,6.450342859017683
Nigeria,1833,6.013976836510384
Canada,1743,5.718691558121985
South Africa,1734,5.6891630302831455
United Kingdom,1562,5.124840053807539
Jamaica,1108,3.6352898717149507
Italy,968,3.175957216444109
Puerto Rico,962,3.1562715312182155
Brazil,849,2.785524459463893
Dominican Republic,812,2.664129400570885
Ghana,798,2.6181961350438003
India,676,2.217920535450638
France,625,2.050592211030545
Philippines,574,1.883263886610453
Haiti,562,1.8438925161586663
China,542,1.778273565405689
Germany,490,1.607664293447948
Colombia,472,1.5486072377702682
Spain,450,1.4764263919419929
Trinidad & Tobago,410,1.3451884904360378
