city,fendi_count,fendi_percent
New York City,248,14.735591206179441
New York,185,10.992275698158052
Georgia,163,9.68508615567439
Florida,131,7.78371954842543
Chicago,128,7.605466428995841
Miami,116,6.892453951277481
Washington DC,98,5.82293523469994
Texas,83,4.931669637551991
Brooklyn,69,4.09982174688057
Houston,68,4.04040404040404
Queens,66,3.9215686274509802
Tokyo,55,3.2679738562091507
Atlanta,38,2.2578728461081403
Tampa,31,1.8419489007724301
Tennessee,31,1.8419489007724301
Bronx,27,1.6042780748663104
Cleveland,26,1.5448603683897804
New Orleans,23,1.36660724896019
Connecticut,23,1.36660724896019
DMV,20,1.1883541295306002
