nationality,fendi_count,fendi_percent
Italy,2368,12.15605749486653
United Kingdom,1390,7.13552361396304
Mexico,1114,5.718685831622176
France,895,4.594455852156058
China,742,3.8090349075975363
Brazil,623,3.198151950718686
Nigeria,556,2.854209445585216
Canada,536,2.7515400410677624
Philippines,531,2.7258726899383983
South Africa,528,2.7104722792607805
Japan,526,2.7002053388090346
India,517,2.6540041067761813
Spain,503,2.5821355236139634
Germany,478,2.4537987679671462
Colombia,449,2.304928131416838
Puerto Rico,306,1.570841889117043
Pakistan,298,1.5297741273100618
Australia,276,1.4168377823408627
Algeria,262,1.344969199178645
Ukraine,261,1.339835728952772
