interests,givenchy_count,givenchy_percent
Fashion,7824,45.483083362399725
Beauty,1573,9.14428554819207
BTS Enthusiast,744,4.325078479246599
Entertainment,560,3.2554354144866875
Blogger,525,3.0519707010812693
Photographer,498,2.8950122078828042
NFT Enthusiast,359,2.0869666317870013
Health,323,1.8776886408557143
Technology,314,1.8253691431228927
United States Army,311,1.8079293105452854
Photography,290,1.6858504825020346
Nature Lover,287,1.6684106499244276
Fan Account,268,1.5579583769329146
Cryptocurrency,241,1.4009998837344495
Black Lives Matter,230,1.3370538309498894
Wellness,225,1.3079874433205443
Finance,220,1.2789210556911987
Analyst,203,1.1800953377514243
Video Games,195,1.1335891175444714
Singer,178,1.0347633996046972
