jobs,givenchy_count,givenchy_percent
Designer,3018,17.083663534472997
Artist,2120,12.000452847277256
Entrepreneur,1718,9.724895279067134
Model,1111,6.288916562889166
Writer,873,4.941695913053323
Content Creator,695,3.9341107211592887
CEO,650,3.6793841277029324
Director,549,3.1076644401675537
Producer,510,2.886901392505377
Onlyfans,494,2.7963319370542283
Teacher,404,2.286878750141515
Management,394,2.230272840484546
Stylist,383,2.1680063398618814
Creator,375,2.122721612136307
Coach,327,1.8510132457828596
Blogger,317,1.7944073361258912
Editor,300,1.6981772897090452
Author,269,1.522698969772444
Influencer,255,1.4434506962526885
DJ,248,1.403826559492811
