nationality,givenchy_count,givenchy_percent
Italy,1526,9.559606590239932
United Kingdom,1186,7.429681137630773
France,995,6.233164192194449
Mexico,900,5.63803796278895
Colombia,648,4.0593873332080435
China,580,3.6334022426862123
Brazil,474,2.9693666604021804
Canada,472,2.956837687151538
Philippines,471,2.950573200526217
Spain,444,2.7814320616425485
India,430,2.693729248888054
Japan,418,2.6185554093842014
South Africa,415,2.5997619495082382
Germany,386,2.418091837373928
Nigeria,363,2.2740086449915435
Venezuela,251,1.5723861429555848
Algeria,240,1.5034767900770534
Ukraine,225,1.4095094906972374
Australia,222,1.3907160308212743
Argentina,221,1.384451544195953
