jobs,gucci_count,gucci_percent
Artist,3971,14.976993286565591
Designer,3251,12.261446782831714
Entrepreneur,3108,11.722109074451236
Content Creator,1491,5.623444218148903
Model,1413,5.329260013577733
Writer,1225,4.620200648713887
CEO,1072,4.043147016670439
Onlyfans,935,3.5264388624877423
Creator,771,2.9078977144150264
Director,676,2.549596439616807
Teacher,674,2.5420532548842125
Producer,655,2.4703929999245684
Coach,489,1.8443086671192581
Gamer,452,1.7047597495662672
Influencer,427,1.610469940408841
Musician,405,1.5274949083503058
Author,377,1.421890322093988
Chef,348,1.3125141434713739
Management,334,1.2597118503432152
Editor,318,1.1993663724824621
