nationality,gucci_count,gucci_percent
United Kingdom,1372,6.66375248919326
Mexico,1317,6.396619554130847
Italy,1068,5.1872359026664725
India,923,4.482976346592841
China,907,4.405264947301958
Brazil,865,4.201272524163389
Philippines,738,3.5844382922920004
South Africa,713,3.463014230899996
Canada,683,3.317305357229589
France,661,3.210452183204624
Japan,607,2.948176210597892
Nigeria,537,2.608188838700277
Pakistan,446,2.166205255233377
Ukraine,422,2.049638156297052
Germany,419,2.0350672689300113
Spain,417,2.025353344018651
Colombia,416,2.0204963815629706
Australia,397,1.9282140949050466
Puerto Rico,330,1.602797610374472
Jamaica,308,1.4959444363495074
