city,iamcardib_count,iamcardib_percent
Florida,73,10.656934306569344
New York City,69,10.072992700729928
Chicago,62,9.051094890510948
New York,58,8.467153284671532
Georgia,48,7.007299270072993
Houston,45,6.569343065693431
Miami,45,6.569343065693431
Atlanta,42,6.131386861313868
Brooklyn,42,6.131386861313868
Texas,36,5.255474452554744
Queens,28,4.087591240875913
Washington DC,20,2.9197080291970803
DMV,19,2.773722627737226
Bronx,19,2.773722627737226
Cleveland,12,1.7518248175182483
Tampa,11,1.6058394160583942
Baltimore,10,1.4598540145985401
Tokyo,10,1.4598540145985401
Nashville,9,1.313868613138686
Tennessee,8,1.167883211678832
