nationality,iamcardib_count,iamcardib_percent
Nigeria,386,6.610721013872238
United Kingdom,329,5.634526460010275
Mexico,329,5.634526460010275
Dominican Republic,267,4.572700804932352
China,251,4.298681281041274
South Africa,230,3.939030655934235
Jamaica,224,3.8362733344750812
Brazil,214,3.6650111320431584
Puerto Rico,182,3.1169720842610036
Colombia,156,2.6716903579380027
Italy,153,2.6203116972084257
Venezuela,147,2.5175543757492718
Canada,146,2.50042815550608
Ghana,137,2.346292173317349
India,132,2.260661072101388
Turkey,108,1.849631786264771
Ukraine,101,1.7297482445624248
Kenya,98,1.678369583832848
France,97,1.6612433635896557
Haiti,90,1.5413598218873092
