city,jackharlow_count,jackharlow_percent
Chicago,670,11.098227596488321
New York City,665,11.015405002484679
New York,627,10.385953288056983
Miami,447,7.404339903925791
Florida,415,6.874275302302468
Atlanta,382,6.327646181878417
Georgia,364,6.029484843465298
Texas,359,5.946662249461654
Houston,348,5.764452542653636
Washington DC,305,5.052178234222296
Brooklyn,221,3.660758654961073
Cleveland,196,3.2466456849428527
DMV,151,2.501242338910055
Queens,125,2.0705648500911047
Tennessee,118,1.9546132184860034
Connecticut,111,1.8386615868809013
Tampa,105,1.739274474076528
Nashville,96,1.5901938048699686
Baltimore,90,1.4908066920655956
Bronx,89,1.4742421732648665
