interests,jackharlow_count,jackharlow_percent
Black Lives Matter,3321,16.654964894684056
Video Games,2907,14.578736208625878
Adult Content,1211,6.073219658976932
Fashion,1066,5.34603811434303
Fan Account,1039,5.210631895687062
Entertainment,881,4.41825476429288
Podcast,714,3.580742226680041
Photographer,709,3.5556670010030094
NFT Enthusiast,665,3.335005015045136
Beauty,629,3.1544633901705117
Cryptocurrency,536,2.688064192577734
Singer,502,2.517552657973922
Photography,447,2.24172517552658
Health,418,2.0962888665998
Analyst,358,1.7953861584754267
United States Army,353,1.7703109327983955
BTS Enthusiast,313,1.5697091273821466
Nature Lover,284,1.4242728184553664
Mixed Martial Arts,283,1.41925777331996
Investor,242,1.213640922768305
