city,jcolenc_count,jcolenc_percent
Chicago,352,10.395747194329594
Los Angeles,319,9.421145894861192
New York,283,8.357944477259304
New York City,255,7.531010041346723
Miami,217,6.4087418783225045
Houston,207,6.1134081512108684
Florida,203,5.9952746603662135
Texas,193,5.699940933254578
Georgia,179,5.286473715298287
Brooklyn,165,4.873006497341996
Washington DC,160,4.725339633786178
Atlanta,155,4.577672770230361
DMV,106,3.130537507383343
Cleveland,91,2.687536916715889
Queens,80,2.362669816893089
Bronx,75,2.215002953337271
Baltimore,62,1.831069108092144
Tampa,51,1.5062020082693444
New Orleans,50,1.4766686355581808
Tennessee,50,1.4766686355581808
