interests,jcolenc_count,jcolenc_percent
Video Games,1484,11.11777045250225
NFT Enthusiast,1052,7.88133053640995
Fashion,1032,7.73149535510938
Entertainment,880,6.592747977225052
Cryptocurrency,819,6.135750674258316
Black Lives Matter,639,4.787234042553192
Beauty,555,4.1579262810908
Photographer,555,4.1579262810908
Podcast,488,3.6559784237338926
Singer,457,3.42373389271801
Adult Content,379,2.83937668564579
Analyst,364,2.7270002996703626
Investor,351,2.6296074318249927
Health,343,2.569673359304765
Nature Lover,316,2.367395864548996
Technology,314,2.3524123464189395
Photography,306,2.2924782738987117
United States Army,264,1.9778243931675161
Blogger,233,1.7455798621516334
Activism,200,1.4983518130056939
