city,kanyewest_count,kanyewest_percent
Los Angeles,416,10.604129492735154
Chicago,414,10.55314810094316
New York City,374,9.533520265103238
New York,331,8.437420341575326
Miami,270,6.8824878919194505
Florida,269,6.856997196023452
Texas,220,5.607953097119553
Washington DC,219,5.582462401223555
Georgia,194,4.945195003823605
Houston,194,4.945195003823605
Brooklyn,165,4.205964822839664
Atlanta,133,3.3902625541677294
Cleveland,94,2.396125414223809
Queens,88,2.243181238847821
DMV,74,1.8863114963038492
Connecticut,68,1.7333673209278615
Tokyo,66,1.6823859291358656
Bronx,62,1.580423145551874
Tampa,59,1.5039510578638802
Tennessee,56,1.427478970175886
