jobs,kanyewest_count,kanyewest_percent
Artist,5968,15.992282544616538
Entrepreneur,4137,11.08580309770084
Producer,2609,6.991264269253443
Designer,2278,6.10429283455705
Content Creator,2130,5.707701377351411
Writer,1830,4.903799774907551
CEO,1570,4.207085052789538
Creator,1308,3.5050109866552326
Onlyfans,1088,2.9154831448630687
Musician,1061,2.843132000643121
Gamer,942,2.524251031673723
Director,826,2.2134090787287635
Coach,759,2.033871054182968
Editor,715,1.9159654858245352
Teacher,711,1.9052467977919498
Model,635,1.7015917251728387
DJ,619,1.6587169730424998
Developer,605,1.6212015649284526
Music Producer,594,1.5917251728388444
Songwriter,588,1.575647140789967
