nationality,kanyewest_count,kanyewest_percent
Mexico,1715,6.8419372855661065
United Kingdom,1708,6.814011010931143
Canada,1273,5.078592515758398
Nigeria,1122,4.476182877204183
South Africa,1121,4.472193409399186
Italy,962,3.8378680284050115
Brazil,823,3.2833320035107327
Puerto Rico,665,2.652996090321552
France,662,2.6410276869065674
Ukraine,602,2.401659618606878
Germany,595,2.3737333439719146
Jamaica,590,2.3537860049469406
India,576,2.297933455677013
China,567,2.26202824543206
Dominican Republic,546,2.1782494215271684
Ireland,499,1.9907444346924126
Australia,491,1.9588286922524543
Ghana,476,1.8989866751775317
Philippines,465,1.8551025293225887
Japan,429,1.7114816883427753
