city,Count,Percent
Los Angeles,338,12.607236105930600
Chicago,263,9.809772472957850
New York,208,7.758299142111150
New York City,186,6.937709809772470
Washington DC,181,6.751212234240960
Miami,155,5.781424841477060
Houston,148,5.5203282357329400
Brooklyn,142,5.296531145095110
Florida,136,5.072734054457290
Atlanta,135,5.035434539350990
Georgia,129,4.811637448713170
Texas,127,4.73703841850056
DMV,75,2.7974636329727700
Queens,65,2.4244684819097400
Cleveland,62,2.3125699365908200
Bronx,57,2.126072361059310
Tampa,46,1.7157776948899700
Tokyo,45,1.6784781797836600
Baltimore,40,1.4919806042521400
Connecticut,36,1.3427825438269300
