interests,kendricklamar_count,kendricklamar_percent
Video Games,1386,11.447922689353266
Black Lives Matter,1012,8.358800693813496
NFT Enthusiast,913,7.541091930288261
Fashion,769,6.351697365160651
Cryptocurrency,628,5.187081853473197
Entertainment,584,4.823655736350871
Photographer,572,4.724539522590236
Podcast,514,4.245477822747171
Fan Account,372,3.072602626579664
Analyst,366,3.023044519699347
Beauty,361,2.9817460972990824
Photography,345,2.8495911456182372
Adult Content,342,2.824812092178079
Health,313,2.585281242256545
Technology,299,2.4696456595358054
Singer,290,2.3953084992153295
Investor,278,2.2961922854546954
Nature Lover,265,2.188816387214008
Bitcoin Enthusiast,206,1.7014950028908893
United States Army,185,1.5280416288097791
