jobs,kendricklamar_count,kendricklamar_percent
Artist,4614,17.60732684602175
Entrepreneur,2091,7.979393245563822
Producer,2091,7.979393245563822
Writer,1628,6.212554855943521
Designer,1602,6.113337149398969
Content Creator,1396,5.327227628315206
Musician,947,3.61381415760351
Creator,872,3.3276092348788393
CEO,863,3.293264644151879
Gamer,779,2.972715130700248
Onlyfans,760,2.900209883609998
Director,581,2.2171341347071163
Editor,559,2.13318069070788
Songwriter,541,2.064491509253959
DJ,518,1.976721999618393
Coach,489,1.8660560961648536
Music Producer,473,1.8049990459835903
Teacher,456,1.7401259301659988
Model,415,1.5836672390765119
Author,368,1.4043121541690513
