nationality,Count,Percent
Mexico,1327,8.600687017953210
Nigeria,1003,6.5007453496662100
South Africa,872,5.651694860327950
United Kingdom,818,5.301704582280120
Canada,687,4.452654092941860
Ghana,663,4.297102858253940
Jamaica,485,3.1434312009851600
Italy,462,2.994361267742560
Puerto Rico,415,2.689740099812040
Brazil,407,2.6378896882494000
France,382,2.475857152116150
Ukraine,334,2.164754682740290
Philippines,311,2.0156847494977000
Haiti,311,2.0156847494977000
Japan,290,1.8795774191457600
Ireland,284,1.840689610473780
Dominican Republic,279,1.808283103247130
Germany,271,1.7564326916844900
India,259,1.6786570743405300
Kenya,257,1.6656944714498700
