city,kith_count,kith_percent
New York City,953,23.938708867118812
New York,552,13.865862848530517
Brooklyn,383,9.620698317005775
Chicago,313,7.862346144184877
Miami,300,7.5357950263752835
Houston,159,3.9939713639788996
Washington DC,147,3.6925395629238875
Florida,142,3.5669429791509666
Texas,136,3.4162270786234608
Queens,136,3.4162270786234608
Atlanta,113,2.838482793268023
Bronx,108,2.7128862094951014
DMV,90,2.2607385079125843
Tokyo,87,2.185380557648832
Georgia,82,2.0597839738759105
Cleveland,70,1.758352172820899
Connecticut,49,1.2308465209746293
Baltimore,47,1.1806078874654609
Tampa,43,1.0801306204471237
Nashville,23,0.5777442853554383
