city,kodakblack1k_count,kodakblack1k_percent
Florida,551,15.573770491803277
Chicago,357,10.090446579988694
Miami,336,9.496890898812888
New York,246,6.953080836630863
Georgia,241,6.8117580553985295
Houston,230,6.500847936687393
Atlanta,223,6.302996042962125
New York City,199,5.624646693046918
Brooklyn,152,4.296212549462973
Washington DC,141,3.9853024307518368
Texas,133,3.759185980780101
DMV,95,2.685132843414358
Baltimore,92,2.600339174674957
Cleveland,92,2.600339174674957
Tampa,90,2.5438100621820237
Queens,68,1.921989824759751
Bronx,63,1.7806670435274163
New Orleans,61,1.7241379310344827
Tennessee,53,1.4980214810627472
Nashville,39,1.10231769361221
