interests,kodakblack1k_count,kodakblack1k_percent
NFT Enthusiast,1144,12.241840556447295
Video Games,994,10.636704119850183
Fashion,776,8.303905831995719
Entertainment,741,7.929373996789725
Cryptocurrency,653,6.987693953986088
Beauty,437,4.6762974852862484
Black Lives Matter,408,4.36597110754414
Adult Content,331,3.542001070090957
Singer,298,3.188871054039592
Podcast,285,3.0497592295345095
Photographer,281,3.0069555912252532
Investor,250,2.6752273943285174
Nature Lover,196,2.0973782771535574
Health,185,1.9796682718031027
Analyst,176,1.883360085607276
Blogger,172,1.8405564472980196
Photography,165,1.7656500802568211
United States Army,159,1.701444622792937
Bitcoin Enthusiast,155,1.6586409844836805
Technology,121,1.2948100588550024
