jobs,kodakblack1k_count,kodakblack1k_percent
Artist,4900,22.33261929720614
Entrepreneur,1814,8.267626817373868
Producer,1806,8.23116539811312
Content Creator,1446,6.590401531379609
CEO,1230,5.605943211339501
Onlyfans,1212,5.523905018002826
Designer,903,4.11558269905656
Writer,900,4.101909666833781
Creator,622,2.8348753475229023
Musician,608,2.7710678638165995
Model,570,2.5978761223280618
Songwriter,525,2.392780638986372
Gamer,497,2.265165671573766
Music Producer,415,1.8914361241511326
DJ,399,1.8185132856296433
Influencer,354,1.6134178022879542
Coach,340,1.5496103185816508
Chef,270,1.2305729000501344
Fortnie,229,1.0437081263388177
Streamer,228,1.0391504489312247
