nationality,kodakblack1k_count,kodakblack1k_percent
Nigeria,1424,10.568502300727326
Haiti,1102,8.178714561377467
Mexico,851,6.315867596853199
Jamaica,835,6.197120379991094
Puerto Rico,568,4.21552619860472
South Africa,563,4.178417693335312
United Kingdom,551,4.089357280688733
Canada,542,4.0225619712038
Ghana,455,3.376873979516105
Dominican Republic,424,3.146801246845777
Italy,350,2.597595368858542
Bahamas,246,1.825738459254861
Trinidad & Tobago,229,1.699569541338875
Brazil,222,1.647617633961704
France,190,1.4101232002374942
Kenya,190,1.4101232002374942
Cuba,179,1.3284844886447975
Germany,171,1.2691108802137447
Colombia,159,1.1800504675671664
India,156,1.1577853644055218
