city,latto_count,latto_percent
Houston,41,8.6864406779661
Los Angeles,38,8.05084745762712
Chicago,38,8.05084745762712
Florida,37,7.838983050847456
Georgia,36,7.627118644067796
Atlanta,34,7.203389830508473
Miami,32,6.779661016949152
New York City,29,6.144067796610169
New York,29,6.144067796610169
Brooklyn,28,5.932203389830509
DMV,18,3.813559322033898
Baltimore,15,3.1779661016949152
Texas,15,3.1779661016949152
Bronx,13,2.754237288135593
Cleveland,11,2.330508474576271
Washington DC,11,2.330508474576271
New Orleans,10,2.11864406779661
Tampa,8,1.694915254237288
Queens,8,1.694915254237288
Connecticut,6,1.2711864406779663
