jobs,latto_count,latto_percent
Artist,484,18.78881987577639
Entrepreneur,229,8.889751552795028
Content Creator,195,7.569875776397512
Onlyfans,152,5.90062111801242
Producer,138,5.357142857142855
Writer,138,5.357142857142855
CEO,136,5.27950310559006
Creator,93,3.6102484472049676
Model,87,3.3773291925465827
Designer,82,3.183229813664595
Gamer,64,2.48447204968944
DJ,64,2.48447204968944
Musician,59,2.2903726708074523
Songwriter,56,2.1739130434782603
Coach,49,1.9021739130434774
Influencer,38,1.475155279503105
Chef,35,1.3586956521739124
Teacher,35,1.3586956521739124
Music Producer,34,1.319875776397515
Author,34,1.319875776397515
