nationality,latto_count,latto_percent
Jamaica,105,7.703595011005134
Puerto Rico,91,6.676449009537781
Nigeria,89,6.529713866471018
Mexico,82,6.016140865737341
Haiti,77,5.649303008070431
Dominican Republic,71,5.209097578870138
United Kingdom,61,4.475421863536315
South Africa,48,3.5216434336023466
Canada,42,3.0814380044020533
Ghana,40,2.934702861335289
Trinidad & Tobago,39,2.861335289801907
Italy,30,2.2010271460014668
Brazil,29,2.127659574468084
Bahamas,24,1.7608217168011733
Cuba,23,1.6874541452677911
France,23,1.6874541452677911
Philippines,21,1.5407190022010266
Senegal,18,1.3206162876008798
Kenya,18,1.3206162876008798
Ukraine,18,1.3206162876008798
