city,lilbaby4pf_count,lilbaby4pf_percent
Chicago,501,11.959894962998328
Atlanta,410,9.78753879207448
Florida,346,8.259727858677488
Georgia,345,8.23585581284316
New York City,331,7.901647171162569
New York,316,7.543566483647648
Miami,270,6.445452375268561
Houston,264,6.302220100262593
Brooklyn,207,4.941513487705896
Texas,176,4.20148006684173
Washington DC,138,3.2943423251372645
DMV,132,3.1511100501312965
Baltimore,112,2.673669133444736
Cleveland,101,2.4110766292671286
Queens,88,2.100740033420865
Tennessee,81,1.933635712580568
Bronx,73,1.742659345905944
Tampa,63,1.5039388875626643
New Orleans,62,1.4800668417283362
Nashville,52,1.2413463833850562
