interests,lilbaby4pf_count,lilbaby4pf_percent
NFT Enthusiast,3298,22.475126073326972
Cryptocurrency,1608,10.958157284993868
Video Games,1229,8.375357775657626
Fashion,1083,7.3804007087365395
Entertainment,901,6.140111762300668
Beauty,646,4.402344282404252
Investor,465,3.1688701103993457
Adult Content,450,3.0666484939348506
Photographer,408,2.7804279678342647
Singer,408,2.7804279678342647
Black Lives Matter,326,2.221616464495025
Podcast,283,1.9285811639634727
Nature Lover,274,1.8672481940847758
Analyst,255,1.7377674798964153
Bitcoin Enthusiast,241,1.6423606378628868
Blogger,226,1.5401390213983916
Photography,214,1.4583617282267958
Health,212,1.444732179364863
Technology,199,1.3561401117623006
United States Army,181,1.2334741720049065
