jobs,lilbaby4pf_count,lilbaby4pf_percent
Artist,5276,21.844981782047043
Entrepreneur,2048,8.479629016230543
Content Creator,1787,7.398973169923817
Producer,1712,7.088439880755218
Onlyfans,1325,5.486088108645248
CEO,1205,4.989234845975489
Designer,1093,4.525505134150381
Writer,1021,4.227393176548527
Creator,864,3.5773434912222597
Musician,713,2.95213646902948
Model,593,2.4552832063597223
Songwriter,589,2.438721430937397
Gamer,544,2.2524014574362377
Music Producer,410,1.697581980788341
Coach,401,1.6603179860881092
DJ,392,1.623053991387877
Influencer,387,1.6023517721099705
Fortnie,353,1.4615766810202058
Streamer,289,1.1965882742630012
Chef,257,1.0640940708843991
