nationality,lilbaby4pf_count,lilbaby4pf_percent
Nigeria,1518,11.612607099143208
Jamaica,761,5.821603427172583
Mexico,731,5.592105263157896
South Africa,642,4.911260709914321
United Kingdom,629,4.811811505507956
Puerto Rico,552,4.222766217870257
Canada,539,4.123317013463893
Haiti,481,3.6796205630354963
Ghana,444,3.3965728274173808
Dominican Republic,439,3.3583231334149333
Italy,363,2.776927784577724
Brazil,236,1.8053855569155448
Trinidad & Tobago,232,1.7747858017135867
France,216,1.652386780905753
Kenya,194,1.484088127294982
China,186,1.422888616891065
Germany,175,1.3387392900856796
India,174,1.3310893512851898
Spain,170,1.3004895960832314
Ukraine,161,1.2316401468788252
