city,lildurk_count,lildurk_percent
Chicago,287,15.129151291512914
Atlanta,141,7.432788613600421
New York,139,7.327358987875591
New York City,137,7.221929362150763
Miami,135,7.116499736425934
Florida,130,6.852925672113863
Los Angeles,123,6.4839219820769625
Georgia,113,5.95677385345282
Houston,107,5.640484976278334
Brooklyn,96,5.060622034791776
Texas,65,3.4264628360569316
DMV,63,3.3210332103321036
Washington DC,59,3.110173958882446
Bronx,39,2.055877701634159
Queens,39,2.055877701634159
Baltimore,39,2.055877701634159
Tampa,35,1.8450184501845017
Cleveland,34,1.792303637322087
Tennessee,27,1.4232999472851868
Connecticut,26,1.3705851344227724
