interests,lildurk_count,lildurk_percent
Video Games,589,12.301587301587306
Fashion,474,9.899749373433584
Entertainment,374,7.811194653299919
NFT Enthusiast,372,7.769423558897246
Cryptocurrency,292,6.098579782790312
Beauty,248,5.1796157059314964
Adult Content,204,4.260651629072683
Singer,190,3.9682539682539693
Photographer,163,3.4043441938178787
Black Lives Matter,157,3.2790309106098583
Podcast,134,2.798663324979115
Nature Lover,126,2.6315789473684217
Investor,118,2.4644945697577283
Health,101,2.1094402673350046
Blogger,98,2.0467836257309946
Analyst,95,1.9841269841269846
Photography,86,1.7961570593149547
Technology,83,1.7335004177109443
United States Army,75,1.566416040100251
Activism,55,1.1487050960735175
