nationality,lildurk_count,lildurk_percent
Nigeria,751,11.437709412123057
Jamaica,407,6.198598842522083
Mexico,355,5.406640268047518
Puerto Rico,325,4.949741090466038
United Kingdom,298,4.538531830642705
South Africa,293,4.462381967712458
Ghana,283,4.310082241851965
Dominican Republic,281,4.279622296679865
Haiti,268,4.081632653061225
Canada,218,3.3201340237587575
Italy,171,2.6043253122144385
Trinidad & Tobago,117,1.7819067925677734
France,104,1.5839171489491317
Brazil,98,1.492537313432836
Kenya,97,1.4773073408467867
Bahamas,93,1.4163874505025893
India,86,1.3097776424002439
Japan,86,1.3097776424002439
Philippines,81,1.2336277794699968
Germany,81,1.2336277794699968
