city,louisvuitton_count,louisvuitton_percent
Georgia,181,14.207221350078495
New York City,144,11.302982731554161
Chicago,111,8.712715855572998
Florida,110,8.634222919937205
New York,105,8.241758241758243
Miami,82,6.436420722135009
Texas,79,6.200941915227629
Washington DC,61,4.788069073783359
Houston,60,4.709576138147567
Brooklyn,58,4.552590266875982
Tokyo,40,3.139717425431711
Queens,39,3.061224489795919
Atlanta,36,2.8257456828885403
Cleveland,29,2.276295133437991
Tennessee,25,1.9623233908948194
Nashville,21,1.6483516483516485
Connecticut,17,1.3343799058084775
Bronx,16,1.2558869701726845
Tampa,15,1.1773940345368918
DMV,13,1.0204081632653061
