nationality,louisvuitton_count,louisvuitton_percent
United Kingdom,811,5.6996275212594
Mexico,731,5.137395459976105
France,674,4.736805116311758
Brazil,654,4.596247100990934
Italy,628,4.4135216810738624
China,591,4.15348935273034
Philippines,530,3.7247874060018273
India,528,3.710731604469745
Nigeria,467,3.2820296577412327
Japan,443,3.1133600393562446
Canada,437,3.0711926347599965
South Africa,406,2.85332771101272
Algeria,380,2.6706022910956495
Ukraine,326,2.2910956497294253
Spain,314,2.2067608405369312
Germany,287,2.0170075198538195
Morocco,262,1.84131000070279
Colombia,259,1.8202262984046664
Pakistan,237,1.6656124815517603
Australia,226,1.5883055731253073
