jobs,nickiminaj_count,nickiminaj_percent
Artist,3929,18.36238725054914
Content Creator,1898,8.870402392858812
Entrepreneur,1634,7.636584567930083
Onlyfans,1357,6.342010562228349
Writer,1221,5.706407440295369
Designer,1169,5.463382717203346
Model,907,4.238911997008927
CEO,877,4.098705425994298
Producer,857,4.005234378651213
Musician,728,3.402346123288312
Creator,551,2.575127354302005
Gamer,489,2.28536710753844
Teacher,478,2.2339580314997427
Songwriter,474,2.2152638220311256
DJ,406,1.8974622610646352
Influencer,350,1.6357433285039962
Comedian,329,1.537598728793756
Chef,305,1.4254334719820536
Coach,280,1.3085946628031968
Author,279,1.3039211104360424
