nationality,nickiminaj_count,nickiminaj_percent
Nigeria,1218,7.655081390233172
Jamaica,961,6.039846646973792
Mexico,892,5.606184400729056
United Kingdom,800,5.027968072402741
South Africa,789,4.958833511407202
Brazil,512,3.2178995663377536
Dominican Republic,488,3.0670605241656714
Puerto Rico,477,2.997925963170134
Canada,472,2.9665011627176163
China,413,2.5956885173779143
Italy,406,2.5516937967443907
Ghana,371,2.331720193576771
Philippines,342,2.1494563509521716
Venezuela,340,2.1368864307711646
Colombia,328,2.061466909685124
Haiti,322,2.023757149142103
France,313,1.9671925083275723
India,277,1.7409339450694488
Trinidad & Tobago,258,1.6215197033498836
Kenya,231,1.4518257809062913
