city,offwht_count,offwht_percent
New York City,211,16.839584996009577
Chicago,170,13.567438148443737
New York,143,11.412609736632083
Miami,86,6.863527533918595
Houston,70,5.5865921787709505
Washington DC,66,5.267358339984038
Brooklyn,64,5.107741420590583
Florida,57,4.549082202713488
Tokyo,51,4.07023144453312
Texas,49,3.910614525139665
Atlanta,41,3.2721468475658417
Georgia,40,3.192338387869114
Bronx,35,2.7932960893854752
Cleveland,29,2.3144453312051083
DMV,25,1.9952114924181967
Tampa,19,1.5163607342378294
Queens,19,1.5163607342378294
Baltimore,17,1.3567438148443736
Connecticut,14,1.1173184357541899
New Orleans,14,1.1173184357541899
