interests,offwht_count,offwht_percent
Fashion,1866,31.131131131131134
Video Games,442,7.374040707374041
Photographer,401,6.690023356690024
NFT Enthusiast,341,5.689022355689023
Entertainment,303,5.055055055055055
Cryptocurrency,243,4.054054054054054
Black Lives Matter,214,3.570236903570237
Photography,198,3.303303303303303
Beauty,167,2.78611945278612
Technology,159,2.6526526526526526
Investor,157,2.6192859526192858
Podcast,148,2.4691358024691357
Finance,104,1.7350684017350686
Health,100,1.668335001668335
Bitcoin Enthusiast,88,1.4681348014681348
Analyst,87,1.4514514514514516
Blogger,76,1.2679346012679347
Fan Account,75,1.2512512512512513
BTS Enthusiast,74,1.2345679012345678
United States Army,62,1.0343677010343677
